키워드,언론사,게시일,뉴스제목,url
GS 해킹,경향신문,2025-04-02 21:18:21,비번 없이도 해킹·피싱 차단…‘패스키’로 눈돌리는 기업들,https://n.news.naver.com/mnews/article/032/0003360844?sid=101
GS 해킹,뉴스1,2025-03-23 09:59:00,"GS리테일, 52g 활동으로 고객·현장 중심 인공지능 전환 전개",https://n.news.naver.com/mnews/article/421/0008146163?sid=101
GS 해킹,서울경제,2025-03-23 11:36:11,"GS리테일, 인공지능 전환 본격 전개",https://n.news.naver.com/mnews/article/011/0004464586?sid=101
GS 해킹,매일신문,2025-03-23 13:24:16,"""고객 불편 AI로 해소"" GS리테일, '현장 중심 AX' 선언",https://n.news.naver.com/mnews/article/088/0000937498?sid=101
GS 해킹,뉴시스,2025-03-24 09:17:43,"GS리테일, 52g 활동으로 고객과 현장 중심 AI 전환 본격 전개",https://n.news.naver.com/mnews/article/003/0013136848?sid=101
GS 해킹,뉴시스,2025-03-09 11:01:00,"""해킹 피해, 뉴스에만 많이 나오는거 아냐?""…실제 통계 봤더니",https://n.news.naver.com/mnews/article/003/0013107908?sid=105
GS 해킹,지디넷코리아,2025-03-01 13:25:11,"""이렇게 하면 털린다""···GS리테일·듀오 해킹 사건 보니",https://n.news.naver.com/mnews/article/092/0002365092?sid=105
GS 해킹,JTBC,2025-02-27 10:19:11,해킹으로 고객 정보 털린 GS리테일...9만명 유출됐다더니 158만명 더 있었다,https://n.news.naver.com/mnews/article/437/0000431566?sid=101
GS 해킹,경향신문,2025-02-27 21:05:10,"해킹당한 GS리테일, 편의점 이어 홈쇼핑 고객정보도 털렸다",https://n.news.naver.com/mnews/article/032/0003353831?sid=101
GS 해킹,YTN,2025-02-27 22:49:57,"GS리테일, 편의점 이어 홈쇼핑도 해킹...개인정보 158만 건 유출",https://n.news.naver.com/mnews/article/052/0002159018?sid=101
GS 해킹,YTN,2025-02-27 11:58:49,"GS리테일, 편의점 이어 홈쇼핑도 해킹...개인정보 158만 건 유출",https://n.news.naver.com/mnews/article/052/0002158695?sid=101
GS 해킹,파이낸셜뉴스,2025-02-27 10:33:14,"'해킹 사건' GS리테일, 158만건 개인정보 추가 유출",https://n.news.naver.com/mnews/article/014/0005314143?sid=101
GS 해킹,한국일보,2025-01-07 10:32:09,해킹당한 GS리테일…고객 9만 명 개인정보 일곱 가지 빠져나갔다,https://n.news.naver.com/mnews/article/469/0000842703?sid=101
GS 해킹,매일경제,2025-01-06 16:22:13,"GS리테일, 해킹 공격에 고객 9만명 개인정보 유출",https://n.news.naver.com/mnews/article/009/0005424508?sid=103
GS 해킹,아시아경제,2025-01-06 17:13:17,GS리테일 웹사이트서 해킹으로 개인정보 유출…주소·연락처 등,https://n.news.naver.com/mnews/article/277/0005528486?sid=101
GS 해킹,SBS,2025-01-06 18:50:09,[D리포트] GS리테일 고객 정보 9만여 건 해킹 피해…3일 만에 알렸다,https://n.news.naver.com/mnews/article/055/0001221213?sid=101
GS 해킹,지디넷코리아,2025-01-06 14:10:13,GS리테일 사이트 해킹…가입자 개인 정보 일부 유출,https://n.news.naver.com/mnews/article/092/0002358733?sid=105
GS 해킹,디지털데일리,2025-01-06 17:46:10,"[DD퇴근길] CES, 삼성·LG 관전포인트는…'해킹' GS리테일, 고객정보 유출",https://n.news.naver.com/mnews/article/138/0002188954?sid=105
GS 해킹,디지털데일리,2025-01-06 14:33:11,홈페이지 해킹 당한 GS리테일…고객 개인정보 일부 유출,https://n.news.naver.com/mnews/article/138/0002188929?sid=105
GS 해킹,디지털타임스,2025-01-06 14:46:08,"GS리테일, 해킹으로 고객 9만명 개인정보 유출돼…""깊이 사과""",https://n.news.naver.com/mnews/article/029/0002927443?sid=101
GS 해킹,한국경제TV,2025-01-06 14:29:25,GS리테일 웹사이트 해킹 당했다…9만명 정보 유출,https://n.news.naver.com/mnews/article/215/0001194193?sid=101
GS 해킹,YTN,2025-01-06 14:42:10,"GS리테일, 해킹 공격에 9만 명 고객 개인정보 유출",https://n.news.naver.com/mnews/article/052/0002136942?sid=101
GS 해킹,MBC,2025-01-06 14:36:18,"GS리테일, 해킹 공격에 고객 9만 명 개인정보 유출",https://n.news.naver.com/mnews/article/214/0001398252?sid=101
GS 해킹,경향신문,2025-02-27 10:31:08,편의점 이어 홈쇼핑도 털렸다…GS샵 158만건 개인정보 추가 유출,https://n.news.naver.com/mnews/article/032/0003353619?sid=101
GS 해킹,서울신문,2025-02-27 15:12:08,GS홈쇼핑도 털렸다… 고객정보 158만건 유출,https://n.news.naver.com/mnews/article/081/0003521364?sid=102
