키워드,언론사,게시일,뉴스제목,url
KT 펨토셀 해킹,이데일리,2025-10-29 16:02:09,"김영섭 KT 대표 “전체 고객 위약금 면제, 종합 검토할 것”",https://n.news.naver.com/mnews/article/018/0006150246?sid=105
KT 펨토셀 해킹,블로터,2025-10-29 17:36:14,"KT 김영섭, 국감서 연임 도전 여부 질문에 ""이사회서 입장 낼 것""",https://n.news.naver.com/mnews/article/293/0000074243?sid=105
KT 펨토셀 해킹,서울경제,2025-10-29 15:18:17,"KT, 소액결제 피해자 위약금 면제…月 100GB 무료",https://n.news.naver.com/mnews/article/011/0004549240?sid=105
KT 펨토셀 해킹,디지털타임스,2025-10-29 15:32:49,KT “소액결제 피해 고객에 100GB·15만원 요금할인 제공”,https://n.news.naver.com/mnews/article/029/0002990099?sid=105
KT 펨토셀 해킹,경향신문,2025-10-28 14:04:00,KT 이용자 10명 중 8명 “전 고객 대상 위약금 면제해야”,https://n.news.naver.com/mnews/article/032/0003404883?sid=101
KT 펨토셀 해킹,뉴시스,2025-10-21 17:36:05,"구현모 KT 전 대표도 펨토셀 해킹 사과…""재직 시절 취약점 발견 못했다""",https://n.news.naver.com/mnews/article/003/0013548784?sid=105
KT 펨토셀 해킹,이데일리,2025-10-21 17:54:11,"소액결제 해킹에 구현모 전 KT 대표 ""펨토셀 보안성 검토 시급""",https://n.news.naver.com/mnews/article/018/0006143478?sid=105
KT 펨토셀 해킹,아이뉴스24,2025-10-21 18:10:17,"[2025 국감] 구현모 KT 전 대표 ""해킹사태, 기술적 원인 규명이 우선""",https://n.news.naver.com/mnews/article/031/0000973806?sid=105
KT 펨토셀 해킹,뉴스1,2025-10-27 07:00:00,KT 소액결제 이름·생년월일 유출 경로는 미궁…서버 해킹 가능성,https://n.news.naver.com/mnews/article/421/0008563665?sid=105
KT 펨토셀 해킹,노컷뉴스,2025-10-24 11:08:14,'KT 해킹' 범행 도구…불법 기지국 장비 등 대다수 중국산,https://n.news.naver.com/mnews/article/079/0004078625?sid=102
