키워드,언론사,게시일,뉴스제목,url
SK 유심 해킹,머니S,2025-05-30 14:58:14,유심 교체 SK텔레콤 고객 537만명… 대기는 372만명,https://n.news.naver.com/mnews/article/417/0001080358?sid=105
SK 유심 해킹,뉴시스,2025-05-30 11:01:52,"SKT, 가입자 537만명 '유심 교체'…예약자 372만명 남아",https://n.news.naver.com/mnews/article/003/0013276215?sid=105
SK 유심 해킹,이데일리,2025-05-30 12:16:21,"SK텔레콤, 유심교체 537만건…예약대기 372만명",https://n.news.naver.com/mnews/article/018/0006027201?sid=105
SK 유심 해킹,부산일보,2025-05-30 14:58:13,SKT “가입자 537만 명 유심 교체”…잔여 예약자 372만 명,https://n.news.naver.com/mnews/article/082/0001328404?sid=101
SK 유심 해킹,뉴시스,2025-05-30 06:00:00,SKT 40% 점유율 붕괴 초읽기…가입자 40만 잃었다,https://n.news.naver.com/mnews/article/003/0013275586?sid=105
SK 유심 해킹,국민일보,2025-05-30 10:45:09,SKT 점유율 40% 벽 무너지나…탈SK 가속화,https://n.news.naver.com/mnews/article/005/0001779990?sid=101
SK 유심 해킹,뉴시스,2025-05-31 09:01:00,여름 보조금 대란? 변수 세가지…SKT 영업재개·단통법 폐지·新 폴더블폰,https://n.news.naver.com/mnews/article/003/0013277885?sid=105
SK 유심 해킹,아이뉴스24,2025-05-29 16:29:09,유심 물량 공급 안정화됐는데⋯SKT 신규가입 중단 언제까지?,https://n.news.naver.com/mnews/article/031/0000936457?sid=105
SK 유심 해킹,조선비즈,2025-05-29 15:40:10,SK텔레콤 신규 가입 재개는 언제?… 통신업계 고객 쟁탈전 심화,https://n.news.naver.com/mnews/article/366/0001081298?sid=105
SK 유심 해킹,뉴시스,2025-05-29 11:00:06,"SKT, 유영상 사장 개보위원장 만남 인정…""사고 수습 위해 만난 것""",https://n.news.naver.com/mnews/article/003/0013273310?sid=105
SK 유심 해킹,이데일리,2025-05-29 11:19:09,"SKT, 유심 교체 500만 넘어…""6월 중하순 예약 없이 방문 교체""",https://n.news.naver.com/mnews/article/018/0006026392?sid=105
SK 유심 해킹,전자신문,2025-05-29 14:02:20,[ET톡] SKT 해킹 불똥 맞은 대리점,https://n.news.naver.com/mnews/article/030/0003317205?sid=105
SK 유심 해킹,매일경제,2025-05-29 13:55:10,"“영업 중단 철회, 보상안 제시하라”…더는 못 버티겠다는 SK텔레콤 대리점주들",https://n.news.naver.com/mnews/article/009/0005500661?sid=101
SK 유심 해킹,뉴시스,2025-05-29 11:33:08,"SKT 대리점協 ""신규영업 중단으로 고통…손실보상 필요""",https://n.news.naver.com/mnews/article/003/0013273551?sid=105
SK 유심 해킹,조선비즈,2025-05-29 15:18:10,"개인정보위, SKT 해킹 中 배후설에 “개인과 국가 결부, 위험한 발상”",https://n.news.naver.com/mnews/article/366/0001081285?sid=104
SK 유심 해킹,뉴시스,2025-05-28 18:36:34,"SKT 영업재개 언제?…유상임 장관 ""유심 교체 전부 끝내야""",https://n.news.naver.com/mnews/article/003/0013271801?sid=101
SK 유심 해킹,전자신문,2025-05-28 17:02:12,"SKT 유심 해킹 한 달, 유심 교체는? [영상]",https://n.news.naver.com/mnews/article/030/0003316867?sid=105
SK 유심 해킹,뉴시스,2025-05-28 11:13:28,SKT 가입자 489만명 유심교체…416만명 대기중,https://n.news.naver.com/mnews/article/003/0013270057?sid=105
SK 유심 해킹,더팩트,2025-05-30 18:32:13,'SKT 유심 해킹' 줄소송…LKB도 집단 소송 착수,https://n.news.naver.com/mnews/article/629/0000394798?sid=102
SK 유심 해킹,중앙일보,2025-05-29 14:00:30,"실리콘밸리 인재 찾는 'SK 글로벌포럼', 올해는 SK하이닉스 홀로",https://n.news.naver.com/mnews/article/025/0003444441?sid=101
SK 유심 해킹,파이낸셜뉴스,2025-05-27 11:20:12,"'유심 해킹' SKT 이용자 235명, 1인당 100만원 손배소",https://n.news.naver.com/mnews/article/014/0005355194?sid=102
