channel,url,title,post_date,comment
naver_news,https://n.news.naver.com/mnews/article/003/0013136848?sid=101,,2025.03.25. 12:55,개소리 말고 요기요나 다시 팔아버려라
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 13:32,개인정보 유출시키는 사람들을 법정 최고형 으로 다스려야 합니다.
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 18:06,지들이 털려놓고 고객탓하긴
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 20:55,적게는 5개 많게는 수십개의 사이트 아이디랑 비번을 주기적으로 언제 다 바꾸냐... 취급하는 놈들이 안털리게 방어해야지. 가입할땐 어서옵쇼. 털리면 아몰랑?
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 19:51,해킹 당한 업체들은 과징금 크게 먹여라! 뭔 나라가 해킹에 이리 취약하냐?
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 20:00,국가에서 해킹되도 봐주니깐 기업에서 보안에 투자를 안함
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 08:26,"사이트 동의 하나하나 받아놓구선, 개인정보는 각자 알아서 지키라고 하는 어처구니 없는 현실."
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 08:28,"이용자 잘못이 아니라, 관리자 잘못 아닌가요? 솔직히 한사람의 이용자 ID 해킹해 보았자, 그 한 사람 개인정보 털리는 거잖아요. ㅎ"
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 10:41,"gs에서 내 개인정보 털렸는지 아무 연락도 안왔음. 니들같은 무책임한 기업 땜에 각종 스팸에 시달리고 보이스피싱 사기에 노출되는거다. 개인정보 관리 주체는 니들이고 니들이 조심해야지 왜 고객들보고 조심하라고 전가하냐? GS는 참 여러 분야에서 가지가지 하는구나. 순살 자이, 광명 조합아파트 입주 3달 앞두고 깡패짓하고ㅉㅉ GS는 진짜 악덕기업인듯"
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 17:12,과징금 좀 쎄게 때려라. 미안하다 하면 그냥 없던 일인가? 고객정보관리를 어떻게 하는건지..
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 12:55,1인당 5천만원씩 물어주면 뭐든게 해결된다.
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 14:10,작성자에 의해 삭제된 댓글입니다.
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 11:33,헐
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 11:31,작성자에 의해 삭제된 댓글입니다.
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 10:06,"책임안질거면 과도 요구하지말길. 미국은 가입시 이메일이면 끝이고 , 배송기업은 배송시에만 이름주소전번 입력함. 최초 가입때 기념일이며 주소며 주렁주렁 요구하지마라 ."
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 08:42,배송중인 택배확인하라면서 메일이 자주오더라마는. 국제메일인거같은... 이때문인가
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 07:47,피해는 국민이 당했는데 과징금 걷어서 국가가 홀랑 먹는건 무슨 경우임???
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 05:06,사이트를 믿고 아이디 패스워드 등록해서 사용하는건데 보안을 강화할 생각을 해야지 주기적으로 패스워드를 바꾸라니;;; 언제적 보안가이드를 아직까지 써먹나? 나중에 지문털리면 지문도 바꾸라고 할판이네;;;
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.02. 04:06,내 정보도 털렸다고 문자 받음 ㅜ.ㅜ
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 20:03,해킹인 척 할 수도 있을 걸? 그리고 방지? 그런 방법은 없다 이중 삼중 백중 막는다고 막히겠니?
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.05.05. 05:20,작성자에 의해 삭제된 댓글입니다.
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.03.01. 18:06,이미 다 털려서 중국에 둥둥 스미싱 대상
naver_news,https://n.news.naver.com/mnews/article/092/0002365092?sid=105,,2025.04.07. 15:31,작성자에 의해 삭제된 댓글입니다.
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:28,"안그래도 조금 전에 080 번호로 해킹 당해서 죄송하다는 문자 메시지 받았는데, 스팸인줄 알았더니 진짜 였네..😂"
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:29,"어쩐지 스팸문자,피싱 겁나게 오더라 작년 10월에 유출됐다는 문자가 오늘 날라오네 개같은.."
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:33,손해배상 어떻게 하나요
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:29,그냥 대표 사임하고 보안담당자들 책임지고 회사 문 닫자
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:33,아... 뭔 피싱문자를 이렇게 정성스럽게 보내나 했는데 진짜였네 ㅋㅋㅋㅋ GS편의점 어플 자주 사용하는데 그거땜에 당첨된거같네. 편의점 옮겨야하나 휴...
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 11:24,유출이 아니라 판매겟지 ㅋㅋㅋ
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 23:39,아. 짜증나. 오늘 gs프레시 돈썼는데… 머리에불난다
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 11:20,헐 개인통관번호를ㄷㄷ
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 11:11,아침에 문자받았다.. 하루걸러 스팸오는 이유가 있었네 ㅠ
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:48,26일까지 포인트 쓰라고 하더니 27일 사과를 한다? 알고 있었던게 아닐까? 뭔가 좀 찜찜한데?
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.02.27. 10:33,야무지게도 털어갔네 어떻게할건데 이제
naver_news,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,,2025.03.01. 01:02,작성자에 의해 삭제된 댓글입니다.
