키워드,언론사,게시일,뉴스제목,url,content
GS 해킹,경향신문,2025-04-02 21:18:21,비번 없이도 해킹·피싱 차단…‘패스키’로 눈돌리는 기업들,https://n.news.naver.com/mnews/article/032/0003360844?sid=101,"스마트폰에 암호 키 한 쌍 생성 비밀번호보다 ‘보안성’ 높아 SKT·네이버·카카오 등 도입 GS리테일은 지난 1월 편의점 웹사이트에서 9만여명의 개인정보가 유출된 데 이어 지난달 홈쇼핑에서도 개인정보 158만건이 유출된 정황이 확인됐다. 해킹 수법으로 지목된 것은 ‘크리덴셜 스터핑’. 사람들이 사이트마다 같은 아이디·비밀번호를 쓰는 점을 악용해 모종의 경로로 수집한 정보로 다른 사이트에도 로그인을 시도하는 공격이다. 인크루트, SPC그룹 해피포인트도 이런 수법에 당했다. 문제가 된 것은 비밀번호. 보안 수준을 높인다며 숫자에다 영어 소문자, 특수문자에 이젠 영어 대문자까지 넣으라는데, 비밀번호 외우기도 버거울 지경이다. 세계 비밀번호 지침의 기준이 되는 미국 국립표준기술연구소(NIST)는 지난해 10월 복잡한 비밀번호가 오히려 보안성을 취약하게 한다고 발표해 파장이 일었다. 대안으로 떠오르는 인증 방식이 있다. 비밀번호가 필요 없는 인증 시스템 ‘패스키(Passkey)’다. “해커들이 다크웹에서 이미 해킹으로 유출된 정보를 저렴하게 얻을 수 있거든요. 기업들은 보안 시스템을 강화하고 2차 인증까지 도입하느라 부담은 늘고, 개인들에게는 주의를 당부하는 것 외에 뾰족한 수가 없는 상황이죠. 비밀번호가 존재하는 한 해킹은 끊이지 않으니, 문제의 근원을 없애자는 겁니다.” 이는 글로벌 표준 인증 단체 ‘FIDO 얼라이언스’에서 패스키 표준 기술 제정에 참여하고 있는 신기은 SK텔레콤 인증보안AI개발팀 매니저의 말이다. 최근 서울 을지로 T타워에서 만난 신 매니저는 “미국 정부와 빅테크들이 패스키 보급에 적극적인 상황이기 때문에 5년 내 패스키가 자리 잡을 것”이라며 “자라나는 세대는 패스키가 패스워드(비밀번호)보다 더 익숙하게 될 것”이라고 말했다. 패스키는 아이디·비밀번호 대신 사용자 기기에서 암호화 키를 기반으로 인증하는 기술이다. 스마트폰에서 얼굴·지문 인식, 핀 번호 등으로 패스키를 생성하면 ‘프라이빗키(개인키)’와 ‘퍼블릭키(공개키)’가 한 쌍 생겨난다. 스마트폰에는 프라이빗키가 저장되고, 퍼블릭키는 서비스 제공자에 전달된다. 해당 서비스에 로그인할 때 프라이빗키와 퍼블릭키를 서로 짝 맞춘다고 보면 된다. 패스키 생성 후에는 처음 선택했던 인증 수단을 사용하면 된다. 생체 인증과 다를 게 없어 보이지만, 기존 방식은 생체 인증으로 비밀번호를 대신 입력해주는 것이고 패스키는 비밀번호 자체가 없다. 해킹이나 피싱 자체가 불가능한 셈이다. 2022년 글로벌 차원에서 논의가 본격화한 패스키는 구글·애플·마이크로소프트 등 운영체제(OS)를 보유한 플랫폼 기업들과 제조사 삼성전자 등이 패스키를 쓸 수 있는 판을 깔아놨다. 한국에선 SK텔레콤, 네이버, 카카오, 토스 등 패스키를 도입하는 기업이 하나둘 늘고 있다. SK텔레콤은 지난해 8월부터 패스키 인증 시스템을 ‘서비스형 소프트웨어(SaaS)’ 기반으로 기업에 제공하고 있다. 자체적으로 패스키 시스템 구축이 어려운 기업들이 월간 이용자수(MAU)에 따라 요금을 내고 서비스를 이용하는 방식이다. 추가 비용이 드는 것처럼 보이지만, 오히려 비용이 줄어들 수 있다고 업계에선 말한다. 비밀번호 찾기 서비스를 위한 고객센터 운영, 문자메시지 등을 통한 2차 인증 비용이 절감되기 때문이다. 깜빡한 비밀번호를 찾거나 추가 인증 필요가 없어지니 이용자들을 더욱 매끄럽게 구매·결제 단계로도 이끌 수 있다. 정석원 PASS사업팀 매니저는 “SK텔레콤은 패스키 글로벌 표준 인증 논의에 참여해 지속적인 기술 대응이 가능하다”며 “복지몰 업체 베네피아에 SK텔레콤 패스키를 처음 적용한 데 이어 다른 업체들과도 도입을 논의 중”이라고 밝혔다. 여러 장점에도 패스키 확산이 더딘 이유는 수십년간 굳어진 소비자들의 ‘관성’을 바꾸는 일이 쉽지 않기 때문이다. 신 매니저는 “국내에서도 정책적으로 홍보하면 보안성이 높은 패스키의 도입이 확산할 것으로 기대된다”고 말했다."
GS 해킹,뉴스1,2025-03-23 09:59:00,"GS리테일, 52g 활동으로 고객·현장 중심 인공지능 전환 전개",https://n.news.naver.com/mnews/article/421/0008146163?sid=101,"임직원 대상 DX 업무 혁신 경험 확대 지속 권태홍 GS리테일 52g 파트장이 지난 3월 19일(수) 서울 강남구 역삼동 GS타워에서 열린 ‘52g 협의체’에서 고객과 현장 중심 AX과제에 대해 설명하고 있다. (GS리테일 제공) (서울=뉴스1) 배지윤 기자 = GS리테일(007070)이 GS그룹 '52g'(오이지)와 함께 현장 중심의 인공지능 전환(AI Transformation)에 본격적으로 나선다. GS리테일은 지난 19일 서울 강남구 역삼동 GS타워에서 열린 '52g 협의체'에서 '현장 중심 AX'를 선언하고 고객 의견(VOC)과 경영주 소통을 생성형 AI 기술 기반으로 혁신하는 프로젝트 계획을 공유했다고 23일 밝혔다. 52g는 '(5)Open (2)Innovation GS'의 약자로 GS그룹의 디지털 업무 혁신을 주도하는 조직이다. GS리테일을 비롯해 GS칼텍스·GS글로벌 등 GS 그룹사별 디지털 업무 혁신을 담당하는 52g 실무자들과 주요 임원들은 '52g 협의체'에서 각 회사별 성과와 과제를 공유한다. GS리테일은 지난해까지 52g 캠프·해커톤(해킹과 마라톤의 합성어로 제한 시간 내 서비스를 개발하는 행사) 등과 같은 프로그램을 통해 DX 업무 혁신을 지원하는 '카탈리스트'와 '퍼실리테이터'를 육성하고 현업 임직원들의 DX 업무 혁신 경험을 늘리는데 주력해 왔다. 올해는 지금까지 축적한 역량과 환경을 바탕으로 고객의 불편과 어려움을 생성형 AI로 풀어내는 프로젝트에 돌입한다. 편의점·홈쇼핑·슈퍼 등 다양한 채널별로 흩어져 있는 고객 의견에서 생성형 AI를 활용해 개선 과제를 찾아내는 'VOC 재구축' 등이 대표 과제다. GS리테일은 이 같은 과제를 현장 실무자들이 직접 생성형 AI 기술로 해결할 수 있도록 'AX Cell'을 꾸리고 교육과 워크숍 및 AI 플랫폼을 제공할 예정이다. 이수현 GS리테일 전략부문장은 ""고객의 진짜 어려움은 현장 실무자가 가장 잘 알고 있기 때문에 임직원들이 직접 생성형 AI 기술을 통해 문제를 해결하는 것이 중요하다""며 ""AX를 통해 고객에게 더 나은 상품과 서비스·경험을 제공하도록 최선을 다하겠다""고 말했다."
GS 해킹,서울경제,2025-03-23 11:36:11,"GS리테일, 인공지능 전환 본격 전개",https://n.news.naver.com/mnews/article/011/0004464586?sid=101,"디지털 혁신 주도 ‘52g’, 현장 중심 AX 선언 사진 제공=GS리테일 [서울경제] GS리테일이 현장 중심의 인공지능 전환(AX, AI Transformation)에 본격적으로 나선다. GS리테일은 “이달 19일 ‘52g 협의체’에서 현장 중심 AX를 선언하고 고객 의견(VOC)과 경영주 소통을 생성형 AI 기술 기반으로 혁신하는 프로젝트 계획을 공유했다”고 23일 밝혔다. 52g는 ‘(5)Open (2)Innovation GS’의 약자로 GS그룹의 디지털 업무 혁신을 주도하는 조직이다. GS리테일을 비롯해 GS칼텍스, GS글로벌 등 GS 그룹사별 디지털 업무 혁신을 담당하는 52g 실무자들과 주요 임원들은 협의체에서 각 회사별 성과와 과제를 공유한다. GS리테일은 지난해까지 52g 캠프, 해커톤(Hackathon, 해킹과 마라톤의 합성어로 제한 시간 내 서비스를 개발하는 행사) 등 프로그램을 통해 DX 업무 혁신을 지원하는 ‘카탈리스트(Catalyst)’와 ‘퍼실리테이터(Facilitator)’를 육성하고 현업 임직원들의 DX 업무 혁신 경험을 늘리는데 주력해 왔다. 특히 지난해에는 현장에 생성형 AI(Gen AI) 도입을 목표로 임직원 교육과 AI 환경을 구축해왔다. 이에 올해는 지금까지 축적한 역량과 환경을 바탕으로 고객의 불편과 어려움을 생성형 AI로 풀어내는 프로젝트에 돌입한다는 계획이다. 편의점, 홈쇼핑, 슈퍼 등 다양한 채널별로 흩어져 있는 고객 의견 속에서 생성형 AI를 활용해 개선 과제를 찾아내는 ‘VOC 재구축’, 편의점 핵심 고객인 경영주에게 필요한 정보를 맞춤형으로 전달할 수 있는 ‘경영주 정보 공유 시스템 재설계’ 등이 대표 과제들이다. GS리테일은 이 같은 과제를 현장 실무자들이 직접 생성형 AI 기술로 해결할 수 있도록 ‘AX Cell’을 꾸리고 교육과 워크숍 및 AI 플랫폼을 제공할 예정이다. 이수현 GS리테일 전략부문장은 “고객의 진짜 어려움은 현장 실무자가 가장 잘 알고 있어 임직원들이 직접 생성형 AI 기술을 통해 문제를 해결하는 것이 중요하다”라며 “AX를 통해 고객에게 더 나은 상품과 서비스, 경험을 제공하도록 최선을 다할 것”이라고 말했다."
GS 해킹,매일신문,2025-03-23 13:24:16,"""고객 불편 AI로 해소"" GS리테일, '현장 중심 AX' 선언",https://n.news.naver.com/mnews/article/088/0000937498?sid=101,"지난 19일 '52g협의체' 통해 현장 중심 AX 선언 올해 AI 기술 활용해 고객 관점에서 정보 공유 재설계 권태홍 GS리테일 52g 파트장이 지난 19일 서울 강남구 역삼동 GS타워에서 열린 '52g 협의체'에서 고객과 현장 중심 AX과제에 대해 설명하고 있다. GS리테일 제공 GS리테일이 GS그룹의 '52g(오이지)'와 함께 고객과 현장을 중심으로 한 '인공지능 전환(AX)'을 본격 전개한다. GS리테일은 지난 19일 서울 강남구 역삼동 GS타워에서 열린 '52g 협의체'에서 '현장 중심 AX(AI 전환)'를 선언하고, 관련 프로젝트 계획을 알렸다. '52g'는 '(5)Open (2)Innovation GS'의 약자로 GS그룹의 디지털 업무 혁신을 주도하는 조직이다. GS리테일을 비롯해 GS칼텍스, GS글로벌 등 GS 그룹사별 디지털 업무 혁신을 담당하는 52g 실무자들과 주요 임원들은 '52g 협의체'에서 회사별 성과와 과제를 공유한다. GS리테일은 지난해까지 52g 캠프, 해커톤(Hackathon, 해킹과 마라톤의 합성어로 제한 시간 내 서비스를 개발하는 행사) 등과 같은 프로그램을 통해 DX 업무 혁신을 지원하는 '카탈리스트(Catalyst)'와 '퍼실리테이터(Facilitator)'를 육성하고 현업 임직원들의 DX 업무 혁신 경험을 늘리는데 주력해 왔다. 52g 프로그램을 경험한 임직원 수만 전체 임직원의 10%가 넘는 800여 명에 달한다. 특히 지난해에는 현장에 생성형 AI(Gen AI) 도입을 목표로 임직원 교육과 AI 환경 구축에 매진했다. 올해는 지금까지 축적한 역량과 환경을 바탕으로 고객의 불편과 어려움을 생성형 AI로 풀어내는 프로젝트에 돌입한다. 대표 과제들로는 편의점, 홈쇼핑, 슈퍼 등 다양한 채널별로 흩어져 있는 고객 의견(Voice of Customer)에서 생성형 AI를 활용해 개선 과제를 찾아내는 'VOC 재구축', 편의점 핵심 고객인 경영주에게 필요한 정보를 맞춤형으로 전달할 수 있는 '경영주 정보 공유 시스템 재설계' 등이 있다. 또한, 이러한 과제를 현장 실무자들이 직접 생성형 AI 기술로 해결할 수 있도록 'AX Cell'을 꾸리고 교육과 워크숍 및 AI 플랫폼도 제공할 예정이다. 이수현 GS리테일 전략부문장은 ""고객의 진짜 어려움은 현장 실무자가 가장 잘 알고 있기 때문에 임직원들이 직접 생성형 AI 기술을 통해 문제를 해결하는 것이 중요하다""며 ""AX를 통해 고객에게 더 나은 상품과 서비스, 경험을 제공하도록 최선을 다하겠다""고 말했다."
GS 해킹,뉴시스,2025-03-24 09:17:43,"GS리테일, 52g 활동으로 고객과 현장 중심 AI 전환 본격 전개",https://n.news.naver.com/mnews/article/003/0013136848?sid=101,"[서울=뉴시스] 권태홍 GS리테일 52g 파트장이 지난 3월 19일(수) 서울 강남구 역삼동 GS타워에서 열린 ‘52g 협의체’에서 고객과 현장 중심 AX과제에 대해 설명하고 있다 (사진=GS리테일 제공) *재판매 및 DB 금지 [서울=뉴시스]이현주 기자 = GS리테일이 GS그룹 '52g(오이지)'와 함께 현장 중심의 인공지능 전환(AX, AI Transformation)에 본격적으로 나선다고 24일 밝혔다. GS리테일은 지난 19일 서울 강남구 역삼동 GS타워에서 열린 52g 협의체에서 '현장 중심 AX'를 선언하고 고객 의견(VOC)과 경영주 소통을 생성형 AI(인공지능) 기술 기반으로 혁신하는 프로젝트 계획을 공유했다. 52g는 '(5)Open (2)Innovation GS'의 약자로 GS그룹의 디지털 업무 혁신을 주도하는 조직이다. GS리테일을 비롯해 GS칼텍스, GS글로벌 등 GS 그룹사별 디지털 업무 혁신을 담당하는 52g 실무자들과 주요 임원들은 52g 협의체에서 각 회사별 성과와 과제를 공유한다. GS리테일은 지난해까지 52g 캠프, 해커톤(Hackathon, 해킹과 마라톤의 합성어로 제한 시간 내 서비스를 개발하는 행사) 등과 같은 프로그램을 통해 DX 업무 혁신을 지원하는 '카탈리스트(Catalyst)'와 '퍼실리테이터(Facilitator)'를 육성하고 현업 임직원들의 DX 업무 혁신 경험을 늘리는데 주력해 왔다. 52g 프로그램을 경험한 임직원 수만 전체 임직원의 10%가 넘는 800여 명에 달한다. 특히 지난해에는 현장에 생성형 AI(Gen AI) 도입을 목표로 임직원 교육과 AI 환경 구축에 매진했다. 올해는 지금까지 축적한 역량과 환경을 바탕으로 고객의 불편과 어려움을 생성형 AI로 풀어내는 프로젝트에 돌입한다. 편의점, 홈쇼핑, 슈퍼 등 다양한 채널별로 흩어져 있는 고객 의견(Voice of Customer)에서 생성형 AI를 활용해 개선 과제를 찾아내는 'VOC 재구축', 편의점 핵심 고객인 경영주에게 필요한 정보를 맞춤형으로 전달할 수 있는 '경영주 정보 공유 시스템 재설계' 등이 대표 과제들이다. GS리테일은 이 같은 과제를 현장 실무자들이 직접 생성형 AI 기술로 해결할 수 있도록 'AX Cell(셀)'을 꾸리고 교육과 워크숍 및 AI 플랫폼을 제공할 예정이다."
GS 해킹,뉴시스,2025-03-09 11:01:00,"""해킹 피해, 뉴스에만 많이 나오는거 아냐?""…실제 통계 봤더니",https://n.news.naver.com/mnews/article/003/0013107908?sid=105,"국내 사이버 공격 사고 전년比 48% 증가…전세계 랜섬웨어 공격도 13% 증가 네트워크확대·공격 기술의 고도화·보안 의식 부족·시스템 취약점 방치 등이 요인 [서울=뉴시스] [서울=뉴시스]송혜리 기자 = #최근 바이비트 가상자산 거래소가 역사상 최다 금액인 14억달러(약 2조원)를 해킹 당하면서 디지털 자산 업계에 경종을 울렸다. 이번 사건은 가상자산 거래소의 보안 취약성을 다시 한번 드러내며, 고객 자산 보호와 보안 강화의 필요성을 강조하는 계기가 됐다. #아웃도어 브랜드 블랙야크에서도 대규모 개인정보 유출 사고가 발생했다. 블랙야크 운영사인 비와이엔블랙야크는 해커의 홈페이지 공격으로 인해 약 34만2253명의 개인정보가 유출된 사실을 확인했다. 유출된 정보는 이름, 성별, 생년월일, 휴대전화 번호, 주소 뒷부분 등 총 5개 항목이다. #GS리테일이 운영하는 GS25 편의점과 GS샵 홈쇼핑에서도 대규모 개인정보 유출 정황이 확인됐다. GS샵은 지난달 158만건의 고객 개인정보가 유출된 사실을 공지했으며, 유출된 정보에는 이름, 생년월일, 연락처, 주소, 이메일 등 총 10개 항목이 포함됐다. #게임업체 위메이드 역시 지난달 28일 해커의 공격을 받아 '플레이 브릿지 볼트'에서 865만4860개의 위믹스 코인이 탈취되는 사건이 발생했다. 피해액은 당시 시세 기준 약 90억원에 달하며, 해킹된 코인은 공격자 지갑을 거쳐 글로벌 거래소 7곳으로 분산된 후 대부분 매도된 것으로 알려졌다. 해킹공격, 진짜 늘었나 봤더니…48% 급증"
GS 해킹,지디넷코리아,2025-03-01 13:25:11,"""이렇게 하면 털린다""···GS리테일·듀오 해킹 사건 보니",https://n.news.naver.com/mnews/article/092/0002365092?sid=105,"전문가들 ""비밀번호 자주 바꾸고 이중화해야""…개인정보위 ""GS리테일 과징금 가중인지는 조사해봐야"" 최근 편의점·홈쇼핑 등을 거느린 대형 유통회사 GS리테일의 홈쇼핑 업체 GS샵에서 고객 개인정보 약 158만건이 유출되는 사고가 발생했다. 이보다 며칠 앞서 회원 수 3만명이 넘는 결혼정보업체 듀오에서도 해킹으로 회원 개인정보가 유출됐다. 유출 규모는 파악되지 않았지만, 업계 특성상 다양한 개인정보를 지니고 있을 것으로 추정된다. 잇달은 개인정보 유출과 해킹에 대해 1일 정보보호(보안) 전문가들은 ""계정 비밀번호를 자주 바꾸는 한편 아이디·비밀번호 말고도 문자메시지(SMS)나 이중 인증 앱으로 한 번 더 까다롭게 해야 피해를 막을 수 있다""고 조언한다. GS샵의 경우, 지난해 6월 21일부터 이달 13일까지 웹사이트 해킹 공격으로 고객 개인정보가 유출된 정황을 확인했다고 회사는 밝혔다. 홈쇼핑 웹사이트를 통해 유출됐다고 추정되는 개인정보는 ▲이름 ▲성별 ▲생년월일 ▲연락처 ▲주소 ▲아이디 ▲이메일 ▲기혼 여부 ▲결혼기념일 ▲개인통관고유부호 총 10개 항목이다. 각자 입력한 정보에 따라 일부는 포함되지 않았을 수도 있고, 멤버십 포인트와 결제 수단 등 금융 정보는 유출되지 않았다. 특히 GS샵 해킹은 앞서 지난달 편의점 GS25를 통해 GS리테일 회원 9만여명의 개인정보 유출이 드러난 지 한 달여 만에 추가로 확인, 사태 심각성을 더 했다. GS리테일의 경우 지난해 12월 27일부터 지난달 4일까지 웹사이트 해킹 공격으로 이름, 성별, 생년월일, 주소, 연락처, 아이디, 이메일 등 7개 항목이 유출됐다. GS리테일의 경우 개인정보위원회 조사를 거쳐 추후 과징금 규모 등이 결정될 예정인데, 개인정보보호법에 따르면 같은 위반 행위 재발 시 가중 조항이 있다. 이정은 개인정보위 조사2과장은 ""GS리테일의 경우가 가중에 해당하는 지는 조사해봐야 한다""고 말했다. GS리테일은 고객 정보 유출과 관련, 사실 인지 후 해킹을 시도한 인터넷프로토콜(IP)과 공격 패턴을 차단하고, GS홈쇼핑 사이트 계정에 로그인할 수 없게 잠금 처리했다. 또 최고 경영진이 참여하는 정보보호대책위원회를 꾸리겠다고 약속하는 한편 최신 정보보호 기술을 도입하고 보안 인력을 늘리겠다고 밝혔다. GS리테일 홈페이지에 개인정보 유출 관련 사과문이 올라왔다.(사진=GS리테일) 듀오의 경우, 지난달 설 연휴 해킹 사고로 일부 고객의 개인정보가 유출됐음을 알아챘고, 유출 경위와 규모를 파악하고 있다. 듀오 회원은 3만5천340명이다. 결혼정보회사인 만큼 회원 ▲이름 ▲연락처 ▲주소 말고도 ▲소득 ▲자산 ▲가족 사항 등을 저장하고 있었을 가능성이 크다. 듀오는 홈페이지에 사과문을 올리고 전문 기관 도움을 받아 기술 조치를 취했다고 밝혔다. 또 주요 개인정보를 암호화해 보관하고 있었다며, 고객에게 안심하라고 일렀다. 이어 비슷한 사고가 다시 일어나지 않게 보안 상태와 시스템 취약점을 점검해 개선하겠다고 밝혔다. 듀오 홈페이지에 올린 해킹 관련 사과문 GS리테일은 해킹 기법 중 하나인 '크리덴셜 스터핑(Credential Stuffing)' 공격을 받았고, 듀오의 경우 해킹 기법이 알려지지 않았다. 보안 분야에서 25년 이상 일하고 있는 윤두식 이로운앤컴퍼니 대표는 두 회사 해킹에 대해 “아직 직접적인 원인이 밝혀지지 않은 상황이라 함부로 판단하기 어렵다”면서도 “듀오는 시스템이 해킹돼 개인정보가 유출됐을 가능성이 있다”고 말했다. 이로운앤컴퍼니는 인공지능(AI) 보안 수준을 높이는 서비스를 제공하는 회사다. 한국개인정보보호책임자(CPO)협의회장인 염흥열 순천향대 정보보호학과 명예교수는 “GS리테일이 다른 사이트에서 유출된 아이디와 비밀번호를 이용하는 크리덴셜 스터핑 공격을 받은 것 같다”며 “해커는 보안이 취약한 사이트의 아이디와 비밀번호로 다른 사이트를 로그인하는 데 쓴다”고 설명했다. 크리덴셜 스터핑은 이용자가 여러 사이트에서 같은 아이디와 비밀번호를 사용하는 것을 노린 해킹 기법이다. 보안 전문가들은 ""매우 단순한 공격 방식이지만 해킹 효과가 커 해커들이 자주 사용하는 방법""이라고 전한다. 공격자는 다크웹에서 계정 정보를 많이 확보한 뒤 반복해 대입을 시도한다. 다른 사이트에서 이미 흘러 나간 아이디와 비밀번호가 악용된 만큼 비밀번호에만 의존해서는 위험하다고 전문가들은 지적했다. 염 교수는 “피싱·파밍 공격을 막을 수 있는 패스워드리스(Passwordless) 방식과 2개 이상 인증 요소를 동시에 사용하는 게 필요하다”며 “예를 들어 아이디·비밀번호와 문자메시지 인증을 동시에 적용하는 것”이라고 설명했다. 윤 대표도 “이중 인증을 지원하는 사이트에서는 반드시 이중 인증을 활성화해야 한다. 이 경우 해커가 내 아이디와 비밀번호로 로그인을 시도하더라도 이중 인증을 못해 정보를 빼낼 수 없다”고 밝혔다. 이어 “기업은 이중 인증을 도입하는 한편 이상 로그인 시도나 비정상적인 접근을 실시간으로 감지하고 대응하는 시스템을 구축해야 한다”며 “정기적으로 교육해 직원의 보안 의식을 높이고 사회공학적인 해킹 기법에 대비하는 능력을 키워야 한다”고 덧붙였다. 전문가들은 ""원론적이지만 사용자는 번거롭더라도 사이트마다 비밀번호를 다르게 정하고, 주기적으로 비밀번호를 바꾸는 게 좋다""고 이구동성으로 지적하며 ""IP 보안이나 2차 비밀번호 등의 보안 정책을 도입할 것을 기업에 권고하고 있지만, 사용자의 편리성 등 때문에 잘 안 이뤄지고 있다""고 짚었다. 실제 크리덴셜 스터핑을 예방하려면 비밀번호는 최소 8자리 이상으로, 또 영어와 특수문자, 숫자 등 3종류 이상 조합으로 만드는 게 좋다. 여기에 나만의 비밀번호 작성 규칙을 만들고 오랫동안 방문하지 않은 사이트는 탈퇴해야 한다. (사진=이미지투데이) 듀오는 피해를 방지하기 위해 발신자를 알 수 없는 이메일이나 메시지 링크를 열지 말고 지우는 한편 로그인 비밀번호를 바꾸라고 고객에게 권했다. GS리테일도 비밀번호를 변경하라고 당부했다. 개인통관고유부호 유출이 의심되면 관세청 개인통관고유부호 발급 사이트에서 개인통관고유부호 사용 정지를 요청하거나 재발급 받을 수 있다고 안내했다. 관세청 홈페이지에 도용 신고할 수도 있다. 개인정보가 유출돼 손해 입었다면 개인정보분쟁조정위원회에 분쟁 조정을 신청할 수 있다."
GS 해킹,JTBC,2025-02-27 10:19:11,해킹으로 고객 정보 털린 GS리테일...9만명 유출됐다더니 158만명 더 있었다,https://n.news.naver.com/mnews/article/437/0000431566?sid=101,"GS리테일 로고 지난달 웹사이트 해킹 공격을 당했던 GS리테일이 추가 조사 결과 158만명 이상의 고객 개인정보를 유출 당한 것으로 확인됐습니다. 앞서 지난달 6일 GS리테일은 지난해 12월 27일부터 지난달 4일 사이 자사 웹사이트를 해킹 당해 고객 개인정보 9만 건이 유출됐다고 밝힌 바 있습니다. GS리테일은 GS25∙GS샵∙GS더프레시 등의 이커머스 홈페이지를 운영 중입니다. 이번에 추가로 확인된 건 GS샵에 가입한 고객들의 개인정보로 기존 9만 명 외에 158만 명 이상이 더 피해를 입은 것으로 추정됩니다. 조사 대상 기간은 지난해 6월 21일부터 지난 13일까지로 아직 정확한 피해 규모가 확인되지 않은 만큼 추가 조사에 따라 피해 고객들은 더 늘어날 수도 있습니다. 유출된 정보는 이름∙성별∙생년월일∙연락처∙주소∙아이디∙이메일∙결혼 유무∙결혼기념일∙개인통관고유부호 등 10개 항목으로 전해졌습니다. 해커들은 '크리덴셜 스터핑(credential stuffing)'을 통해 개인정보를 탈취한 것으로 파악됐습니다. 크리덴셜 스터핑은 여러 경로로 수집한 ID와 비밀번호를 무작위로 대입해 로그인한 후 개인 정보를 훔치는 수법입니다. GS리테일은 해킹을 시도하는 IP 공격 패턴을 즉시 차단하고, 홈쇼핑 웹사이트 계정에 로그인할 수 없도록 잠금 처리했다고 밝혔습니다. 또, 최고경영진이 참여하는 정보보호 대책 위원회를 발족해 이번 사고를 조속히 수습하고 이후 해당 조직을 상설 운영해 재발 방지에 최선을 다하기로 했습니다. GS리테일은 ""추가 피해 방지와 예방을 위해 관련 기관 조사에 성실히 협조하고, 계속해서 고객, 관계자들과 투명하게 소통할 것을 약속한다""고 밝혔습니다. 자세한 소식은 오늘 오후 6시 반 〈JTBC 뉴스룸〉에서 전해드리겠습니다."
GS 해킹,경향신문,2025-02-27 21:05:10,"해킹당한 GS리테일, 편의점 이어 홈쇼핑 고객정보도 털렸다",https://n.news.naver.com/mnews/article/032/0003353831?sid=101,"158만건 추가 유출, 공식 사과…결제 수단 등 금융정보 유출은 없어 GS리테일의 홈쇼핑 GS샵 웹사이트에서 개인정보 약 158만건이 추가 유출된 것으로 확인됐다. 지난달 편의점 GS25를 통해 GS리테일 웹사이트가 해킹 공격을 받아 고객 9만명의 개인정보가 유출된 지 한 달여 만이다. GS리테일은 27일 공식 사과문을 통해 “지난 1월 다른 사이트에서 유출된 아이디와 비밀번호를 악용해 당사 홈페이지에 다량으로 로그인을 시도하는 이상 징후를 발견했다”며 “이를 분석한 결과 당사 편의점 홈페이지에서 고객의 개인정보가 유출된 정황을 인지하고 해당 고객들에게 안내 문자를 발송했다”고 밝혔다. 이어 “운영 중인 모든 인터넷 사이트로 범위를 확대해 최근 1년간의 로그(기록)를 추가 분석했다”며 “그 결과 홈쇼핑 웹사이트에서도 2024년 6월21일부터 2025년 2월13일 사이 동일 수법으로 약 158만건의 개인정보 유출 정황을 확인했다”고 말했다. 홈쇼핑 웹사이트를 통해 유출된 것으로 추정되는 개인정보는 이름, 성별, 생년월일, 연락처, 주소, 아이디, e메일, 기혼 여부, 결혼기념일, 개인통관 고유부호 등 총 10개 항목이다. 다만 멤버십 포인트 및 결제 수단 등 금융 정보는 유출되지 않은 것으로 알려졌다. GS리테일은 “해당 사실 인지 후 해킹을 시도하는 IP와 공격 패턴을 즉시 차단하고, 홈쇼핑 웹사이트 계정에 로그인할 수 없도록 잠금 처리했다”며 “로그인 시 본인 확인 절차를 강화하는 동시에 해당 고객들께 비밀번호 변경을 권고드리는 안내 메시지를 발송했다”고 밝혔다."
GS 해킹,YTN,2025-02-27 22:49:57,"GS리테일, 편의점 이어 홈쇼핑도 해킹...개인정보 158만 건 유출",https://n.news.naver.com/mnews/article/052/0002159018?sid=101,"지난달 편의점 홈페이지에서 9만여 명의 개인정보가 유출된 GS리테일이 홈쇼핑 웹사이트도 해킹당한 것으로 드러났습니다. GS리테일은 운영 중인 모든 인터넷 사이트의 최근 1년간 접속 기록을 분석한 결과 홈쇼핑 웹사이트에서도 지난해 6월 말부터 지난 13일까지 같은 수법으로 158만 건의 개인정보가 유출된 정황이 확인됐다고 밝혔습니다. 이번에 유출된 것으로 추정되는 개인정보는 이름과 성별, 생년월일, 연락처, 주소, 개인통관고유부호 등 10개 항목입니다. 다만 멤버십 포인트와 결제 수단 등의 금융 정보는 유출되지 않았습니다. GS리테일은 해킹을 시도하는 IP와 공격 패턴을 즉시 차단하고, 홈쇼핑 웹사이트 계정에 로그인할 수 없도록 잠금 처리했다고 밝혔습니다. 또 최고경영진이 참여하는 정보보호 대책 위원회를 발족해 이번 사고를 조속히 수습하고 이후 해당 조직을 상설 운영해 재발 방지에 최선을 다할 방침이라고 강조했습니다. ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr"
