키워드,언론사,게시일,뉴스제목,url,content
KT 펨토셀 해킹,이데일리,2025-10-29 16:02:09,"김영섭 KT 대표 “전체 고객 위약금 면제, 종합 검토할 것”",https://n.news.naver.com/mnews/article/018/0006150246?sid=105,"과방위 종합감사 증인 출석 소액결제 해킹 피해 2만명 보상안 발표 ""수사 결과 따라 추가 조치 결정"" MS와 투자 계약 불공정 지적도 나와 [이데일리 윤정훈 기자] KT(030200)가 최근 발생한 소액결제 해킹 사태와 관련해 피해 고객뿐 아니라 전체 고객을 대상으로 한 위약금 면제 방안까지 종합적으로 검토하겠다고 밝혔다. 김영섭 KT 대표이사가 29일 서울 여의도 국회 과학기술정보방송통신위원회에서 열린 과학기술정보통신부 등에 대한 종합감사에서 질의에 답하고 있다.(사진=연합뉴스) KT “피해고객에 5개월간 100GB 데이터 제공” 김영섭 KT 대표는 29일 오후 국회 과학기술정보방송통신위원회(과방위) 종합감사에 출석해 KT의 대책에 대해 밝혔다. 김 대표는 “피해를 입은 고객 2만2227명 대상으로 보상을 제공하고, 전체 고객은 종합적인 상황을 고려하고 있다”며 “합동조사단이나 경찰 수사 결과, 고객 피해 내용을 종합적으로 판단해서 결정할 것”이라고 밝혔다. 이훈기 더불어민주당 의원은 “SK텔레콤은 해킹 피해자 확인이 안됐는데도 안전한 통신서비스 제공 의무 위반에 대해 귀책 사유를 인정해서 모든 번호 이동하는 고객의 위약금을 면제했다”며 “KT 가입자들도 불안감이 있어서 번호이동을 한다면 당연히 해줘야 한다”고 전체 고객 위약금 면제를 촉구했다. KT는 현재 소액결제 피해에 대한 100% 배상과 함께 번호이동을 희망하는 피해 고객의 위약금 면제를 제공하고 있다. 만약 정보유출 피해 고객이 번호이동을 하지 않고 KT를 계속 사용할 경우에는 5개월간 100G 상당의 무료 데이터를 제공한다고 밝혔다. 또한 15만원 상당의 통신요금 할인 또는 단말 교체를 원하는 고객에겐 단말 구매금액 할인을 선택할 수 있도록 했다. 피해를 입은 고객 중 번호이동을 한 고객은 3000명으로 알려졌다. 현재까지 KT는 소액결제 해킹에는 불법 펨토셀(초소형 기지국) ID 20개가 사용됐고, 한 번이라도 접속 이력이 있는 고객은 2만2227명이다. 소액결제 사태로 피해를 입은 고객은 총 368명이다. 총 피해액은 2억4300만원이다. KT가 유출한 것으로 확인되는 정보는 국제이동가입자식별정보(IMSI), 단말기식별번호(IMEI), 휴대폰 번호 등이다. 최근 KT 발표를 보면 메시지(SMS) 방식 소액결제 피해도 63건이 확인됐다. 이를 두고 전문가들은 KT통신망이 암호화돼지 않았거나 복제폰을 만들수 있는 인증키가 유출됐을 가능성을 제기하고 있다. “MS와 계약 KT에 불리” vs “차원 달라” 이날 과방위에서는 KT와 마이크로소프트 애저 간의 계약이 KT에 불리하게 적용됐다는 지적도 나왔다. KT는 MS와 2029년까지 2조4000억원 규모의 인공지능(AI) 및 클라우드 공동 투자 협약을 체결했다. 이훈기 의원은 “KT 자회사인 KT클라우드에서 역할을 했는데 3~4배 이상 비싼 것 같은데 이득이 뭐냐”고 질의했고, 김 대표는 “MS 애저 플랫폼에서 돌아가는 것과 데이터센터(IDC)에서 돌아가는 것은 차원이 다르다”며 “(MS 애저를)5년 동안 다 사용하지 못하는 것은 계약 기간이 끝나면 추가로 연장해서 사용할 수 있도록 계약했다”고 해명했다. 미국의 클라우드법에 따라 미국 정부가 요구하면 MS는 고객 데이터 유출 가능성에 대한 질의도 나왔다. 이에 대해 김 대표는 “모든 데이터는 국내 서버에 저장돼 있으며, 고객이 직접 관리한다”며 “MS가 임의로 데이터를 접근할 수 없도록 돼있다”고 답했다."
KT 펨토셀 해킹,블로터,2025-10-29 17:36:14,"KT 김영섭, 국감서 연임 도전 여부 질문에 ""이사회서 입장 낼 것""",https://n.news.naver.com/mnews/article/293/0000074243?sid=105,"김영섭 KT 대표이사가 10월21일 서울 영등포구 국회에서 열린 과학기술정보방송통신위원회 국정감사에 참석해 의원들의 질의에 답하고 있다. /사진=이진솔 기자 김영섭 KT 대표가 국정감사에서 전체 고객 위약금 면제와 최고경영자(CEO) 연임 여부를 두고 의원들로부터 압박을 받았다. 김 대표는 전체 고객에 대한 위약금 면제는 민관합동조사단 결과를 종합 판단하겠다고 즉답을 피했다. 연임 응모 여부는 이사회에서 밝히겠다며 말을 아꼈다. KT는 이날 소액결제 피해 고객 보상안을 발표했다. 29일 서울 영등포구 국회에서 열린 과학기술정보방송통신위원회 국정감사에서 김 대표는 ""합조단과 경찰 수사 결과, 피해 내용 등을 종합적으로 판단해 위약금 면제 여부를 결정하겠다""고 말했다. KT는 이날 오후 3시 소액결제 피해 고객에 대한 보상안을 공개했다. 소액결제와 정보유출이 확인된 피해 고객들에게 5개월간 100기가바이트(GB) 상당의 무료 데이터를 제공한다. 또 15만원 상당의 통신요금 할인이나 휴대폰 구매금액 할인 중 하나를 선택할 수 있도록 했다. 통신요금 할인은 월 휴대폰 요금에서 차감된다. 휴대폰 교체 할인은 KT에서 구매한 신규 휴대폰으로 기기변경 시 약정할인 금액에 추가 할인이 적용된다. KT는 관련 문의에 대응하기 위해 보상이 완료될 때까지 24시간 전담 고객센터를 운영하며, 보상 대상 고객들에게는 11월 첫 주에 추가 문자 안내를 진행한다. 현재 위약금 면제 대상은 실제 소액결제 피해를 본 고객 2만2227명으로 한정돼 있다. 의원들은 피해 고객에게만 제공하는 보상안을 전체 고객으로 확대해야 한다고 지적했다. 이훈기 더불어민주당 의원은 SK텔레콤(SKT) 사례를 들며 KT를 압박했다. SKT는 올해 4월 유심(USIM) 해킹 사고로 2696만건의 고객 정보가 유출됐고, 과학기술정보통신부가 ""안전한 통신서비스 제공 의무를 다하지 못했다""며 회사의 귀책사유를 인정해 전체 고객 대상 위약금 면제가 이뤄졌다. 이 의원은 ""SKT는 2500만명 정보가 유출됐지만 실제 피해는 확인되지 않았다. 그런데도 안전한 통신서비스 제공 의무 위반을 인정해 모든 번호이동 고객의 위약금을 면제했다""며 ""KT는 2만2000여명의 실제 피해가 확인된 만큼 다른 가입자들이 불안감에 번호이동을 한다면 당연히 해줘야 한다""고 따졌다. 김 대표는 ""말씀하신 부분을 추후 결정할 때 고려하겠다""며 한발 물러섰다. 위약금을 면제하게 되면 소급 적용할 것이라고도 덧붙였다. 황정아 더불어민주당 의원은 ""전체 고객 유심칩 교체를 검토하겠다고 하고 말이 없다""며 ""전체 고객 보상안도 무소식""이라고 지적했다. 김 대표는 ""전체 고객 유심 교체를 위한 여러 준비가 거의 마무리 단계""라며 ""지난번처럼 줄을 서거나 불편을 초래하면 안 되기 때문에 재고를 충분히 확보했다""고 설명했다. 그는 ""11월4일 이사회에서 의결하면 즉시 시행하겠다""고 밝혔다. 전체 고객 대상 보상안에 대해서는 ""위약금 면제 관련은 조사 결과와 피해 내용을 감안해 결정하겠다""고 답했다. KT는 지난 8월부터 불법 초소형 기지국(펨토셀)을 통한 소액결제 해킹 사고를 겪었다. 최종 피해자는 368명, 피해액은 2억4000만원에 달한다. 불법 펨토셀에 접속한 고객은 약 2만2000명으로, 이들의 전화번호와 가입자식별번호(IMSI), 단말기식별번호(IMEI) 등 개인정보가 유출됐다. 이날 국감에서는 KT의 마이크로소프트(MS) 클라우드 계약도 도마 위에 올랐다. 이 의원은 ""KT가 MS와 2조3000억원 규모의 계약을 맺었다""며 ""미국 클라우드 액트법에 따라 미국 정부가 원하면 모든 정보를 줄 수 있어 데이터 주권 침해 우려가 높다""고 지적했다. 김 대표는 ""MS와 계약할 때 데이터는 전부 국내 리전에 있고, 망에 관련된 데이터는 고객이 가지고 관리하게 되어 있다""며 ""미국이 요구해도 고객 데이터를 건드릴 수 없다""고 반박했다. 최민희 더불어민주당 의원은 김 대표의 연임 여부를 직격했다. 최 의원이 ""새 CEO 선임에 나설 것인가""라고 묻자, 김 대표는 ""11월 초 새 대표를 뽑는 절차가 시작된다""며 ""경영의 총체적 책임은 CEO에게 있어 합당한 책임이 마땅하다""고 답했다. 응모 여부에 대해서는 ""여기서 말씀드리는 건 적절치 않고 곧 이사회에서 제 입장을 밝히겠다""고 말을 아꼈다. 최 의원이 ""책임을 지겠다는 건가""라고 재차 묻자, 김 대표는 ""책임은 져야 마땅하다""고 답했다."
KT 펨토셀 해킹,서울경제,2025-10-29 15:18:17,"KT, 소액결제 피해자 위약금 면제…月 100GB 무료",https://n.news.naver.com/mnews/article/011/0004549240?sid=105,"해킹 피해 2.2만명에 보상 결정 요금할인·기기변경 15만원 지원 김영섭 ""전고객 유심 교체 검토"" 김영섭 KT 대표이사가 29일 서울 여의도 국회 과학기술정보방송통신위원회에서 열린 과학기술정보통신부 등에 대한 종합감사에서 질의에 답하고 있다. 연합뉴스 [서울경제] KT(030200) 가 최근 불법 기지국(펨토셀) 해킹으로 무단 소액결제 피해를 입은 가입자 2만 2000여명을 대상으로 위약금 면제를 포함한 보상안을 29일 발표했다. KT는 우선 번호이동을 원하는 피해 고객에게 약정 해지에 따른 위약금을 면제해주기로 했다. 피해 고객이 입은 소액결제 피해도 100% 배상한다. 또 피해 고객에게 5개월 간 매달 100GB(기가바이트) 데이터를 무료로 제공한다. 피해 고객은 15만 원 상당의 통신요금 할인이나 신규 기기 변경을 위한 단말 구매금액 할인도 받을 수 있다. 통신요금 할인은 월 휴대폰 요금에서 차감되며 단말 교체 할인은 KT에서 구매한 신규 단말기로 기기 변경 시 약정할인 금액에 추가 할인이 적용되는 방식으로 이뤄진다. 앞서 해킹을 통해 가입자들의 단말기 정보인 국제단말기식별번호(IMEI)도 유출된 정황이 확인되면서 커진 복제폰 범죄 우려를 해소하려는 것으로 보인다. 전 가입자 대상 유심(USIM) 교체도 검토 중이다. 김영섭 KT 대표는 이날 국회 과학기술정보통신위원회의 과학기술정보통신부 종합감사에 증인으로 출석해 “다음달 4일 이사회에서 의결해야 하는 사항”이라며 “의결 즉시 시행하겠다”고 말했다. 통신 금융 사기 피해를 보상하는 ‘KT 안전안심보험’을 3년간 무료로 제공된다. KT는 24시간 전담 고객센터를 운영하며 보상이 완료될 때까지 관련 문의에 응대할 방침이다. 보상 대상자에게는 다음주 문자 안내가 이뤄진다. 직접 금전 피해를 입은 362명을 포함해 불법 기지국에 노출돼 정보 유출을 당한 피해 고객은 2만 2227명이다. KT는 그외 전국 2000여 개 매장을 ‘안전안심 전문 매장’으로 전환하고 정부 민관합동조사단 조사에 적극 협조하는 등 사고 재발 방지에 노력하겠다는 방침이다."
KT 펨토셀 해킹,디지털타임스,2025-10-29 15:32:49,KT “소액결제 피해 고객에 100GB·15만원 요금할인 제공”,https://n.news.naver.com/mnews/article/029/0002990099?sid=105,"KT가 소액결제 피해와 정보유출이 확인된 피해 가입자들에게 5개월간 100GB 상당의 무료 데이터를 제공한다. 또한 15만원 상당의 통신요금 할인이나 단말 교체를 원하는 가입자에겐 단말 구매금액 할인을 선택할 수 있도록 했다. KT가 최근 불법 기지국(펨토셀) 해킹으로 무단 소액결제 피해와 관련한 추가 보상 계획을 29일 발표했다. 앞서 KT는 소액결제 피해에 대한 100% 배상과 함께 번호이동을 희망하는 피해 고객의 위약금 면제를 결정한 바 있다. 통신요금 할인은 월 휴대폰 요금에서 차감된다. 단말 교체 할인은 KT에서 구매한 신규 단말기로 기기변경시 약정할인 금액에 추가 할인이 적용되는 식이다. KT는 관련 문의에 응대하기 위해 보상이 완료될 때까지 24시간 전담 고객센터를 운영한다. 보상 대상 가입자들에겐 내달 첫 주에 추가 문자 안내를 한다. 이와 함께 KT는 고객 신뢰 회복 및 유사 침해사고 재발 방지를 위해 전국 2000여개 매장을 '안전안심 전문 매장'으로 전환하고, 피해 가입자를 대상으로 통신 금융 사기 피해를 보상하는 'KT 안전안심보험'을 3년간 무료로 제공한다. KT 측은 ""사태 수습과 재발 방지를 위해 민관합동조사단의 조사에 적극적으로 협조하겠다""며 ""향후 보안 강화를 위한 구체적인 조치들을 이행할 계획""이라고 밝혔다. 김나인 기자 silkni@dt.co.kr 한 시민이 KT 판매점 앞을 지나고 있다. 연합뉴스"
KT 펨토셀 해킹,경향신문,2025-10-28 14:04:00,KT 이용자 10명 중 8명 “전 고객 대상 위약금 면제해야”,https://n.news.naver.com/mnews/article/032/0003404883?sid=101,"김영섭 KT 대표이사가 지난달 24일 국회 과학기술정보방송통신위원회에서 열린 통신·금융 대규모 해킹사고에 대한 청문회에 참석해 있다. 한수빈 기자 무단 소액결제·해킹 사태가 일어난 KT 이용자 10명 중 8명이 전 고객 대상 위약금 면제를 요구하는 것으로 나타났다. 28일 서울YMCA 시민중계실이 KT 이용자 1000명을 대상으로 실시해 공개한 ‘KT 불법 소액결제 해킹 사건 인식조사’ 결과를 보면, 응답자의 81.7%가 “전 고객 대상 위약금 면제가 필요하다”고 답했다. “필요하지 않다”는 응답은 4.5%에 그쳤다. 시민중계실은 “이용자 신뢰 붕괴 수준”이라며 “KT 이용자 대다수가 적극적인 보호 조치를 요구하고 있다는 점은 정부도 무시해서는 안 될 것”이라고 밝혔다. KT의 무단 소액결제 사태는 8월 중순부터 9월 초순까지 경기 광명·서울 금천 등에서 피해 사례가 잇따르며 불거졌다. 지금까지 확인된 피해자는 368명, 피해액은 2억4000만원이다. 불법 초소형 기지국(펨토셀)에 접속돼 가입자식별정보(IMSI), 단말기식별번호(IMEI), 전화번호 등이 유출된 이용자는 2만2000여명에 달한다. KT는 지난 21일부터 소액결제·개인정보 유출 피해자에 한해 위약금 면제와 유심 교체를 진행 중이다. 그러나 피해가 드러난 이들에 한정한 조치에 대해 이용자 불만이 높다. 응답자의 72.6%는 “전체 고객에게 별도의 보상이나 조치를 하지 않는 것은 불공정하다”고 답했다. 또 “KT 해지를 가로막는 가장 큰 요인은 위약금”이라는 응답은 70.9%, “KT가 안전한 통신서비스 제공 의무를 다하지 않았다”는 응답은 80.9%로 나타났다. 시민중계실은 “KT는 10월21일 국정감사에서 전 고객 대상 유심 교체를 전향적으로 검토하겠다고 밝혔으나, 일주일이 지난 현재까지 아무런 후속 조치가 없다”며 “국민의 관심이 사그라들기만을 기대하는 것으로 보인다”고 비판했다. 이어 “KT 이용자 다수가 요구하는 전 고객 대상 유심 교체와 위약금 면제는 필수 서비스 제공 기업의 사회적 책임을 묻는 요구”라며 “KT가 이를 엄중히 받아들이고 신뢰 회복에 나서야 한다”고 촉구했다."
KT 펨토셀 해킹,뉴시스,2025-10-21 17:36:05,"구현모 KT 전 대표도 펨토셀 해킹 사과…""재직 시절 취약점 발견 못했다""",https://n.news.naver.com/mnews/article/003/0013548784?sid=105,"과방위 국정감사 증인 출석 ""가입자 망 접속사실 분명 밝혀져야"" ""불법 펨토셀 망 접속, 국가적 차원 또는 통신사 협력 통해 찾아야"" [서울=뉴시스] 심지혜 기자 = 구현모 전 KT 대표가 21일 국회 과학기술정보방송통신위원회의 해킹 관련 기관 국정감사 증인으로 출석해 의원 질의에 답변하고 있다. 25.10.21. siming@newsis.com [서울=뉴시스] 심지혜 박은비 윤현성 기자 = 구현모 전 KT 대표가 최근 벌어진 무단 초소형 기지국(펨토셀) 보안 사고에 대한 책임을 인정하고, 근본적 해결을 위해서는 기업문화 개선이 필요하다고 밝혔다. 구 전 대표는 21일 국회 과학기술정보방송통신위원회 국정감사에 참고인으로 출석해 ""KT CEO를 3년 동안 하면서 펨토셀 취약점을 제가 발견하지 못했고 개선하지 못한 점에 대해서는 죄송하게 생각한다""고 사과했다. 이날 김현 더불어민주당 의원은 구 전 대표에게 ""KT 출신으로 최초로 사장이 됐는데 현재 벌어지고 있는 KT 상황에 대해서 어떤 조치가 있어야만 수습이 된다고 생각하느냐""고 질의했다. 구 전 대표는 ""(불법)펨토셀을 통해서 어떻게 가입자 망 접속이 일어났는가 하는 부분에 대해서 기술적으로 좀 더 분명하게 밝혀져야 한다""고 말했다. 이어 ""만약 KT 펨토셀의 부실한 관리가 원인이었다면 그것은 오히려 막기가 쉽다""며 ""그게 아니고 다른 방식을 통해서 망에 접속한 거라면 국가적인 차원 또는 통신사업자 간의 협력을 통해서 문제가 다루어져야 하고 해결책이 논의되어야 한다""고 설명했다. 특히 ""KT에서 이제 문제점을 알았기 때문에 단순히 펨토셀 부실 관리의 문제라면 그것은 금방 치유가 될 수 있을 것""이라며 ""무엇보다도 전문가들이 활동을 할 수 있는 역할을 주시고 시간을 주시면 된다""고 부연했다. 이에 김 의원은 ""기술적 문제 말고 현재 국민들이 느끼는 불안함과 직무대표가 이야기하는 수습 방안이 근본적 치유 방안이 된다고 생각하느냐""고 물었다. 구 전 대표는 ""기본적으로는 기업문화가 중요하다고 생각한다""며 ""KT라고 하는 회사가 갖는 기간통신사업자의 역할이라든지 위상 이런 것들을 충분히 인식하고 그것을 자발적으로 찾아서 해결하는 기업문화가 다시 살아난다면 충분히 문제는 해결할 수 있다""고 답변했다. [서울=뉴시스] 심지혜 기자 = 추의정 KT 감사실장이 21일 국회 과학기술정보방송통신위원회의 해킹 관련 기관 국정감사 증인으로 출석해 의원 질의에 답변하고 있다. 25.10.21. siming@newsis.com 이밖에 증인으로 참석한 추의정 KT 감사실장은 KT의 펨토셀 해킹에 따른 무단 소액결제 사태와 관련, 책임 소재를 분명히 하겠다는 입장을 보였다. 추 실장은 ""(지금 회사는) 현황 파악과 고객 보호에 매진하고 있다""며 ""이 사안의 중요성과 심각성에 대해 제대로 파악하고 있고, 향후 내부에서 감사 활동을 해서 책임 소재를 명확히 할 예정""이라고 설명했다. 김 대표가 어느 시점에 사퇴하는 게 국가기간통신사로 최소한의 피해를 주는 것이냐는 질문에는 ""제가 회사 내부 임원으로서 그와 관련된 답변을 하기에는 적절하지 않은 것으로 생각한다""고 말을 아꼈다．"
KT 펨토셀 해킹,이데일리,2025-10-21 17:54:11,"소액결제 해킹에 구현모 전 KT 대표 ""펨토셀 보안성 검토 시급""",https://n.news.naver.com/mnews/article/018/0006143478?sid=105,"[2025 국감] 참고인으로 나서 해킹 대응에 입 열어 핵심 경로 아니면 통신사간 협력, 국가적으로 풀어야 [이데일리 강민구 기자] 소액결제 해킹 사건의 핵심 경로로 KT 미연동(비사용) 펨토셀이 지적된 가운데 펨토셀에 대한 회수와 보안성 검토가 시급하며, 펨토셀이 핵심 경로가 아닐 경우 사안을 통신사 간 협력과 국가적으로 풀어야 한다는 의견이 제기됐다. 21일 국회에서 열린 국회 과학기술정보방송통신위원회 국정감사에서 구현모 전 KT 대표는 김현 더불어민주당 국회의원이 “KT 전 대표로서 해킹 사건 수습에 대해 어떻게 생각하냐”라는 질의에 참고인으로 나서 이같이 답변했다. 21일 국회에서 국회 과학기술정보방송통신위원회 국정감사가 진행됐다.(사진=연합뉴스) 구현모 전 KT 대표는 전 대표로서 펨토셀의 취약점을 발견 못한 부분에 대해 사과하면서도 펨토셀을 통한 망접속에 대한 기술적인 실태를 파악해야 한다고 밝혔다. 구 전 대표는 “펨토셀을 통해 망 접속에 대해 기술적으로 분명하게 밝혀야 한다”며 “펨토셀 부실 관리가 원인이면 관리하기 쉽지만 다른 방식으로 접속이 이뤄졌다면 국가적, 통신사간 협력을 통해 해결책을 논의해야 한다”고 설명했다. 그러면서 구 전 대표는 “기본적으로 기업문화가 중요하다”며 “KT라는 회사가 갖는 위상을 인식하고, 자발적으로 찾아 해결하고 하는 기업문화가 다시 살아난다면 문제해결도 가능하리라고 본다”고 강조했다. 한편, 최수진 국민의힘 국회의원실이 조사한 자료에 의하면 KT가 ‘2주 내 전수 점검 및 회수’를 약속한 지 한 달이 지났음에도 장비 분실 규모는 1만개를 넘어섰고, 회수율은 20%에도 미치지 못한 것으로 조사됐다. 또한 회수거부 1165건, 방문거부 1만4329대, 연락이 닿지 않은 무응답 8837대를 모두 포함하면 총 2만4331대가 여전히 관리 사각지대에 남아 있는 것으로 나타났다."
KT 펨토셀 해킹,아이뉴스24,2025-10-21 18:10:17,"[2025 국감] 구현모 KT 전 대표 ""해킹사태, 기술적 원인 규명이 우선""",https://n.news.naver.com/mnews/article/031/0000973806?sid=105,"""펨토셀 부실이 원인이라면 금방 막아…다른 방식이면 국가·통신사 협력 필요"" 구현모 전 KT 대표가 국회 국정감사에서 최근 해킹 사태의 수습 가능성과 관련해 ""기술적 원인 규명이 우선""이라고 밝혔다. 구현모 KT 전 대표가 의원 질의에 답하고 있다. [사진=국회방송] 21일 국회 과학기술정보방송통신위원회에서 김현 더불어민주당 의원이 ""현재 벌어지는 KT 해킹 사태를 어떻게 수습할 수 있겠느냐""고 묻자 구 전 대표는 ""펨토셀을 통해 여러 망의 접속이 일어났는지 기술적으로 분명히 밝혀야 한다""며 ""KT의 펨토셀 관리 부실이 원인이라면 오히려 막기가 쉽지만, 다른 방식으로 접근했다면 국가적·통신사 간 협력이 필요하다""고 말했다. 구 전 대표는 ""기본적으로 기업문화가 중요하다""며 ""KT가 기간통신사업자로서의 위상을 충분히 인식하고, 자발적으로 문제를 해결하는 문화가 다시 살아난다면 사태를 극복할 수 있을 것""이라고 덧붙였다. 또한 그는 ""3년동안 KT CEO를 하면서 펨토셀의 취약점을 발견하지 못한 점에 대해 죄송하게 생각한다""며 고개를 숙였다."
KT 펨토셀 해킹,뉴스1,2025-10-27 07:00:00,KT 소액결제 이름·생년월일 유출 경로는 미궁…서버 해킹 가능성,https://n.news.naver.com/mnews/article/421/0008563665?sid=105,"1년 전부터 발생한 개인정보 유출…피해 규모 더 클 수 있어 무단결제 범행 수법 미스터리…서버 해킹 통한 탈취 가능성 서울의 한 KT 대리점 앞으로 시민들이 지나가고 있다. 2025.9.10/뉴스1 ⓒ News1 박지혜 기자 (서울=뉴스1) 이기범 기자 = KT(030200) 소액결제 사태가 처음 불거진 지 두 달이 다 돼 가지만, 여전히 사건의 실체는 미궁 속에 있다. KT의 세 차례 조사 결과 발표와 경찰 수사, 국회 청문회, 국정감사까지 진행됐지만, 무단 결제를 가능하게 한 범행 수법은 전모가 파악되지 않았다. 조 단위 데이터 분석했지만…피해 규모 더 클 수 있어 27일 정부와 KT에 따르면 지난 9월부터 알려진 소액결제 사태로 현재까지 총 368명이 피해를 입은 것으로 집계됐다. 주요 범행 도구인 불법 펨토셀(초소형 기지국) ID는 총 20개가 확인됐다. 해당 펨토셀 ID 접속돼 개인정보 유출 정황이 있는 고객은 총 2만 2227명으로 집계됐다. 이들은 국제이동가입자식별정보(IMSI), 단말기식별번호(IMEI), 휴대폰 번호이 유출됐을 가능성이 높다. KT는 자신들이 보유한 13개월 치(2024년 8월 1일~2025년 9월 10일) 전체 휴대폰-기지국 접속 기록 약 4조 300억 건 전수 조사해 이 같은 내용을 파악했다고 설명했다. 김영섭 KT 대표가 9월 11일 서울 광화문KT지사에서 열린 소액결제 피해 관련 브리핑에서 고개 숙여 사과하고 있다. (공동취재)2025.9.11/뉴스1 ⓒ News1 박지혜 기자 생년월일 등 개인정보 유출 경로 파악 안 돼 여기서 풀리지 않는 의문은 소액결제 인증에 필요한 나머지 개인정보는 어떤 경로로 유출됐는지다. KT 측은 ""결제를 할 때 필요한 이름과 생년월일, 성별 등 정보는 불법 기지국에서 확보할 수 없다""며 ""민관합동조사단에서 KT 내부 서버를 조사 중인데, 결과가 나오면 발표할 것""이라는 입장이다. 이 때문에 전문가들은 범인들이 이미 다른 경로로 확보한 개인정보를 활용했을 가능성을 제기한다. 또 KT 서버에서 정보가 해킹당했을 가능성을 배제할 순 없다. 실제 KT 서버 침해 정황은 이미 드러났다. KT는 7월 19일 한국인터넷진흥원(KISA)으로부터 원격상담시스템 서버 해킹 정황을 통보받았지만, 이를 부인하고 관련 서버를 폐기했다. 이후 과학기술정보통신부는 KT 측이 허위 자료 제출 및 증거은닉 등 정부 조사를 방해했다며 지난 2일 경찰에 수사 의뢰를 했다. 현재 경기남부경찰청 반부패경제범죄수사대가 해당 사건 관련 입건 전 조사(내사)에 착수했다. 해당 서버 해킹으로 유출된 정보가 소액결제 사건에 이용됐는지 여부는 경찰 수사 및 민관합동조사단 조사를 통해 밝혀질 것으로 보인다. 복제폰 우려도 완전히 불식되지 않았다. KT는 인증키값이 유출되지 않았기 때문에 복제폰 가능성이 없다고 여러 차례 강조했지만, 조사 범위와 방식을 확대하는 과정에서 이전에 알려지지 않은 사실들이 추가로 드러났다. 류제명 과기정통부 제2차관은 이달 21일 국회 과학기술정보방송통신위원회 국감에서 ""유심을 복제하기 위한 인증키값은 나가지 않은 걸로 판단했다""면서도 ""어떤 가능성도 있을 수 있다는 전제하에 조사하고 있다""고 말했다."
KT 펨토셀 해킹,노컷뉴스,2025-10-24 11:08:14,'KT 해킹' 범행 도구…불법 기지국 장비 등 대다수 중국산,https://n.news.naver.com/mnews/article/079/0004078625?sid=102,"KT가 사용했던 펨토셀 부품 없어…다수 중국 제품 경찰, 불법 장비 추가 확보·유통 경로 수사 범행 도구 시연 장면. 경기남부경찰청 제공 'KT 해킹' 무단 결제 사건의 범행 도구로 사용된 불법 소형 기지국(펨토셀) 등 장비 대부분이 중국에서 건너온 것으로 확인됐다. 24일 경기남부경찰청 사이버수사대에 따르면 경찰은 지난 14일 구속기소 된 중국 국적 40대 장모씨가 범행에 사용한 27개의 네트워크 장비 중 다수를 중국에서 들여온 것으로 확인하고 2차 검증을 이어가고 있는 것으로 파악됐다. 앞서 경찰이 입수한 범행 장비는 지난 16일 피의자 장씨와 류씨를 검거할 당시 평택항 인근에서 확보했다. 장비는 라면 상자 크기의 2개 상자에 나눠서 담겨 있었는데, 27개의 부품이 하나의 세트를 이루고 있는 것으로 파악됐다. 이 중 불법 초소형 기지국을 작동시키는 데 필요한 핵심 부품 다수는 중국 등 해외에서 생산된 것으로 파악됐다. 경찰은 해당 장비들을 해커 일당이 이를 직접 제조해 사용했을 가능성은 작을 것으로 보고 중국 내에서 유통되는 통신장치 등을 입수한 것으로 보고있다. 입수한 장비 중 KT가 보급하거나 사용하던 펨토셀의 부품으로 보이는 것은 나오지 않았다. 경찰 관계자는 ""중국에서 범행 관련 부품을 들여온 경로를 파악하고 있다""며 ""자세한 검증 내용은 현재 수사 중인 단계로 밝힐 수 없다""고 설명했다. 경찰은 제2, 제3의 불법 통신 장비가 있을 가능성을 열어두고 조사 중이다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요. 이메일 : jebo@cbs.co.kr 카카오톡 : @노컷뉴스 사이트 : https://url.kr/b71afn"
