키워드,언론사,게시일,뉴스제목,url,content
SK 유심 해킹,머니S,2025-05-30 14:58:14,유심 교체 SK텔레콤 고객 537만명… 대기는 372만명,https://n.news.naver.com/mnews/article/417/0001080358?sid=105,"지난 26일 서울 시내 SKT 직영점에 게시된 해킹 사태 관련 안내문. /사진=뉴스1 SK텔레콤 유심 해킹 사태 이후 537만명의 고객이 유심을 교체했고 온라인으로 예약한 대기 인원은 372만명이다. 30일 SK텔레콤에 따르면 전날 기준 가입자 20만명이 유심을 바꿔 유심 교체 고객들은 누적 537만명을 기록했다. 예약을 했으나 아직 실물 교체를 기다리고 있는 잔여 인원은 372만명 수준이다. 유심 교체 건수는 최근까지 평일 하루 30만건을 넘었지만 지난 28일(28만명)부터 추세가 꺾이고 있다. 문자로 교체가 가능하다는 연락을 받았어도 매장에 방문하지 않는 예약자들도 상당수다. SK텔레콤은 이달 5일부터 시작된 신규 영업 중단은 다음달 중반부터 다시 가능할 것이라고 본다. 유심 사태 직후 SK텔레콤 대리점들은 유심 교체와 신규 영업을 병행했지만 유심 대란이 일어나면서 신규 고객 유치는 중단된 바 있다. 신규 영업과 관련해 행정 지도를 내렸던 과학기술정보통신부는 아직까진 유심 교체에 힘써야 된다는 입장이다. 유상임 장관은 지난 28일""SK텔레콤 이용자 전부는 아니더라도 물리적 유심 교체를 원하는 800만명에 대해서는 전부 만족시켜야 할 것""이라고 했다. SK텔레콤은 다음달 2일부터 5일까지 본사 직원들을 경기도 외곽 매장 현장에 지원한다. 지난달 28일부터 개시한 본사 직원 현장 지원은 다음달 2일까지 약 6000명 참여가 예정돼 있다. 복수 참여도 포함된 수치다. 직원 약 3300명이 현장 지원을 위한 고객 응대와 전산 교육을 마쳤다."
SK 유심 해킹,뉴시스,2025-05-30 11:01:52,"SKT, 가입자 537만명 '유심 교체'…예약자 372만명 남아",https://n.news.naver.com/mnews/article/003/0013276215?sid=105,"30만명 안팎이던 SKT 유심 교체, 전날 하루 20만명으로 줄어 [서울=뉴시스] 박은비 기자 = SK텔레콤이 해킹 사고 이후 가입자 537만명이 유심 교체를 마친 것으로 나타났다. 30일 SK텔레콤에 따르면 전날 기준 가입자 20만명이 유심을 교체했다. 누적 537만명이다. 남아있는 예악 인원은 372만명 수준이다. 최근 평일 하루 30만건 이상 이뤄졌던 유심 교체는 지난 28일(28만명)에 이어 주춤한 모양새다. SK텔레콤에 따르면 교체 안내를 받은 뒤 바로 매장을 찾지 않는 예약자들도 상당수다. SK텔레콤은 이달 5일부터 시작된 신규 영업 중단이 다음달 중후반께 재개될 수 있을 것으로 보고 있다. 앞서 유상임 과학기술정보통신부 장관은 지난 28일 SK텔레콤의 영업 재개 시점을 확인하는 취재진 질문에 ""SK텔레콤 이용자 전부는 아니더라도 물리적 유심 교체를 원하는 800만명에 대해서는 전부 만족시켜야 할 것""이라는 입장을 밝혔다. SK텔레콤은 다음달 2일부터 5일까지 본사 직원들을 경기 외곽에 위치한 매장 중심으로 현장 지원할 계획이다. 지난달 28일부터 시작된 본사 직원 현장 지원은 다음달 2일까지 약 6000명 참여가 예정돼 있다. 복수 참여도 포함된 수치다. 직원 약 3300명이 현장 지원을 위한 고객 응대와 전산 교육을 수료했다. 한편, SK텔레콤은 유심된 유출 정보로 패스(PASS) 인증이 불가능하고 모바일 신분증을 등록하거나 복제할 수 없다고 설명했다．"
SK 유심 해킹,이데일리,2025-05-30 12:16:21,"SK텔레콤, 유심교체 537만건…예약대기 372만명",https://n.news.naver.com/mnews/article/018/0006027201?sid=105,"SK텔레콤 “유심 침해사고로 금융 피해 가능성 없어” 6월 초 외곽 매장 중심 추가 지원 [이데일리 김현아 기자] SK텔레콤이 최근 발생한 유심(USIM) 사이버 침해 사고 대응 현황과 향후 계획을 밝혔다. 회사 측은 이번 사고가 금융 피해로 연결될 가능성은 없다고 설명하며, 유심 교체 누적 건수는 537만 건에 이르렀다고 전했다. 서울 시내 SK텔레콤 대리점에 유심 교체 안내문이 게시되어 있다.(사진=뉴스1) 30일 SK텔레콤 뉴스룸 발표에 따르면, 전날 하루 동안 약 20만 명의 가입자가 유심을 교체해 누적 교체 인원은 총 537만 명으로 집계됐다. 현재 예약 대기자는 372만 명 수준으로, 교체 작업은 계속 진행 중이다. SK텔레콤은 오는 6월 2일부터 5일까지 경기권 외곽 매장을 중심으로 본사 직원들의 현장 지원을 확대할 예정이다. 이를 위해 현재까지 전산 교육을 수료한 직원은 약 3300명이며, 복수 참여를 포함해 총 6000여 명의 본사 직원들이 유심 교체 지원에 동참해왔다고 설명했다. 이번 사고와 관련된 금융 피해 우려에 대해서는 선을 그었다. SK텔레콤 관계자는 “유출된 일부 유심 정보만으로는 PASS 인증(재가입)이나 모바일 신분증 등록 및 복제가 불가능하다”고 밝혔다. 또한 “금융 서비스 해킹에는 별도의 인증서와 계좌 정보 등이 필수적이며, 현재 유출된 정보만으로는 금융 정보를 탈취할 수 없다”고 강조했다. SK텔레콤은 사고 초기부터 매일 온·오프라인 브리핑을 통해 고객 보호 조치 현황과 진행 상황을 투명하게 공개하고 있으며, 앞으로도 전사적 대응 체계를 유지해 나갈 계획이다."
SK 유심 해킹,부산일보,2025-05-30 14:58:13,SKT “가입자 537만 명 유심 교체”…잔여 예약자 372만 명,https://n.news.naver.com/mnews/article/082/0001328404?sid=101,영업 재개 시점은 ‘오리무중’ SK텔레콤 해킹 사고 이후 가입자 537만 명이 유심 교체를 마친 것으로 나타났다. 사진은 서울 시내 한 SKT 매장에 붙은 유심정보 유출 사태 관련 안내문. 연합뉴스 SK텔레콤 해킹 사고 이후 가입자 537만 명이 유심 교체를 마친 것으로 나타났다. 30일 SK텔레콤에 따르면 전날 기준 가입자 20만 명이 유심을 교체했다. 누적 537만 명이다. 잔여 예약자는 372만 명이다. 최근 평일 하루 30만 건 이상 이뤄졌던 유심 교체는 지난 28일(28만 명)부터 점차 줄어든 모양새다. 이는 교체 안내를 받은 뒤 바로 매장을 찾지 않는 예약자들이 늘어난 영향이다. SK텔레콤은 이달 5일부터 시작된 신규 영업 중단이 다음 달 중후반에 재개될 수 있을 것으로 보고 있다. 유상임 과학기술정보통신부 장관은 지난 28일 SK텔레콤의 영업 재개 시점에 대해 “SK텔레콤 이용자 전부는 아니더라도 물리적 유심 교체를 원하는 800만 명에 대해서는 전부 만족시켜야 할 것”이라고 못 박았다. SK텔레콤은 내달 2일부터 5일까지 본사 직원들을 경기 외곽에 위치한 매장 중심으로 현장을 지원할 계획이다. 지난달 28일부터 시작된 본사 직원 현장 지원은 내달 2일까지 약 6000명이 투입될 예정이다. 회사는 약 3300명의 직원이 현장 지원을 위한 고객 응대와 전산 교육을 수료했다고 설명했다.
SK 유심 해킹,뉴시스,2025-05-30 06:00:00,SKT 40% 점유율 붕괴 초읽기…가입자 40만 잃었다,https://n.news.naver.com/mnews/article/003/0013275586?sid=105,"사고 발표 이후 45.7만명 이탈…5만명 유입되면서 40.6만명 순감 점유율 39%대 추정…SKT, 기기변경 지원금·판매장려금 인상으로 대응 [서울=뉴시스] 황준선 기자 = 2일 서울 시내 한 이동통신사 대리점 모습.이날 한국통신사업자연합회(KTOA)에 따르면 지난 4월 고객 정보 해킹사건이 발생한 SK텔레콤에서 다른 통신사로 이동한 고객은 전월 대비 87% 증가한 23만7000여명으로 나타난 가운데 SK텔레콤이 유심 교체에 속도를 내기 위해 오는 5일부터 신규가입·번호이동 영업을 중단을 발표하며 가입자 이탈은 늘어날 전망이다. 2025.05.02. hwang@newsis.com [서울=뉴시스] 심지혜 기자 = SK텔레콤이 해킹 사고 이후 40만명의 가입자가 줄었다. 45만명이 넘는 가입자가 이탈했지만 5만명 가량이 SK텔레콤을 찾았다. 30일 이동통신업계에 따르면 해킹 사고를 발표한 지난달 22일부터 이달 28일까지 45만6628명이 SK텔레콤에서 빠져나갔다. 이 중 25만4284명이 KT로, 20만2344명이 LG유플러스를 선택했다. 해킹 사고가 있었지만 5만1040명은 SK텔레콤을 선택했다. 이에 따라 SK텔레콤 가입자는 40만5588명이 순감했다. SK텔레콤은 지난 5일부터 과학기술정보통신부의 행정지도에 따라 신규가입과 번호이동 등 신규영업을 하지 못하고 있다. 과기정통부는 유심 교체 물량 공급이 안정화 될 때까지 신규영업을 전면 중단하라고 했다. 이로 인해 SK텔레콤은 40%대를 유지하고 있던 점유율이 무너질 가능성이 높아졌다. 지난 3월 기준 SK텔레콤의 점유율(기타회선 제외)은 40.3%였다. 해킹 사고 이후 40만5588명이 떠나가면서 SK텔레콤의 가입자수는 지난 3월 2273만여 명에서 2233만여 명으로 줄었다. 전체 가입자 수는 유동적이지만 3월을 기준으로 가정하면 SK텔레콤의 점유율은 39.6%로 추정된다. 이에 SK텔레콤은 지난 25일부터 가입자 이탈 방어를 위해 주요 단말기에 대한 공시지원금을 올리고 판매점에 지급하는 장려금을 인상했다. 판매점은 영업중지 대상이 아니다. 이에 판매점이 SK텔레콤 대리점을 대신해 영업을 하도록 하는 전략을 택한 것이다. 이에 SK텔레콤의 일일 가입자 순감 수치는 1만명 이하대로 줄었다. 이와 관련, 임봉호 SK텔레콤 MNO(이동통신) 사업부장은 “매장마다 차이는 있지만 평월 대비 30~40% 기기변경 건수가 증가하고 있다""고 말했다. 무엇보다 SK텔레콤은 유심 교체를 서두르면서 영업재개 시점을 앞당긴다는 전략이다. SK텔레콤은 28일까지 총 517만명의 유심을 교체했다. 남은 예약 고객은 389만명으로 줄었다. 유심 교체율은 약 57%다. 소프트웨어(SW)로 유심 정보를 바꾸는 유심 재설정은 누적 24만6000명을 기록했다. SK텔레콤은 본사 직원을 대리점에 배치해 교체업무를 지원하고 있다. 대략 30만명 정도는 교체 연락에도 오지 않고 있어, 지속적인 문자 연락을 통해 방문을 독려할 계획이다. 임 사업부장은 ""평소대로라면 다음달 중반 정도에는 (유심 교체) 안내를 한번씩 다 드릴 수 있을 것 같다""며 ""유심 재고도 최대한 확보하고 전사적으로 매장에 지원하면서 유심 교체를 최대한 빨리 마무리하는 것에 집중할 계획""이라고 말했다. 이어 ”교체 작업이 순조롭게 진행되면 좀 더 빨라질 것으로 생각된다“며 ”유통망이 신규영업을 못하는 부분에 대해서는 지원하겠지만 소상공인이고, (영업중지에 따른) 고통이 있기 때문에 최대한 앞당기기 위해 교체작업을 서두를 것“이라고 강조했다. 한편, SK텔레콤 대리점협의회는 전날 성명을 내고 신규영업 중단에 따른 손실 보상을 제시하라고 촉구했다. 이 협의회는 ""SK텔레콤은 이번 사태를 해결하기 위한 대리점들의 헌신적인 노력에 대해 정확히 인지하고 신규모집 중지 기간의 손실에 합당한 보상안을 조속히 제시해야 한다""고 했다. 특히 신규영업 중단으로 보게 된 손해와 가입자 이탈에 따른 보상이 이뤄지지 않을 경우 집단 행동까지 할 수 있다고 경고하며 조속히 영업재개가 이뤄져야 한다고 촉구했다．"
SK 유심 해킹,국민일보,2025-05-30 10:45:09,SKT 점유율 40% 벽 무너지나…탈SK 가속화,https://n.news.naver.com/mnews/article/005/0001779990?sid=101,"SK텔레콤이 지난달 발생한 해킹 사고 이후 한 달여 만에 가입자 40만명 이상을 잃었다. 가입자 이탈이 이어지면서 통신시장에서 SK텔레콤의 점유율은 40% 아래로 떨어졌을 것으로 보인다. 30일 이동통신 업계에 따르면 SK텔레콤은 해킹 사고를 발표한 지난 4월 22일부터 이달 28일까지 총 45만6628명의 가입자가 타 통신사로 이동했다. KT로 이동한 가입자가 25만4284명, LG유플러스로 이동한 이용자는 20만2344명이었다. 같은 기간 SK텔레콤을 새로 선택한 가입자도 5만1040명 있었지만, 순감 기준으로는 총 40만5588명에 달한다. SK텔레콤은 지난 5일부터 과학기술정보통신부의 행정지도로 인해 신규 가입과 번호이동 등 영업 활동이 전면 중단된 상태다. 이는 유심칩 물량 부족에 따른 대응 조치로, 당국은 유심 공급이 안정화될 때까지 영업을 재개하지 못하도록 하고 있다. 영업 중단과 가입자 이탈이 겹치면서 SK텔레콤의 점유율 하락도 불가피해진 상황이다. 지난 3월 기준 SK텔레콤의 시장 점유율은 40.3%(기타 회선 제외)였으나, 현재 추정치는 39.6% 수준으로 떨어졌다. 총 가입자 수도 약 2273만명에서 2233만명으로 줄어든 상태다. SK텔레콤은 가입자 유출을 막기 위해 단말기 공시지원금을 상향하고, 유통점에 지급하는 장려금을 인상하는 방식으로 대응하고 있다. 공식 대리점은 영업이 제한되지만, 판매점은 이번 행정지도 대상에서 제외돼 이들을 통한 간접 영업에 집중하는 전략이다. 이에 따라 일일 순감자 수는 최근 1만명 이하로 줄었다. SK텔레콤은 유심 교체 작업에도 속도를 내고 있다. 28일까지 총 517만건의 유심이 교체됐고, 남은 예약 고객은 389만명 수준이다. 전체 유심 교체율은 약 57%에 이르며, 소프트웨어 방식으로 유심 정보를 재설정한 건수는 누적 24만6000건이다. 현재는 본사 직원까지 동원해 매장에서 교체 업무를 지원 중이다."
SK 유심 해킹,뉴시스,2025-05-31 09:01:00,여름 보조금 대란? 변수 세가지…SKT 영업재개·단통법 폐지·新 폴더블폰,https://n.news.naver.com/mnews/article/003/0013277885?sid=105,"①SKT 다음달 영업재개 시점 공격적인 가입자 탈환전 예고 ②단통법 폐지로 번호이동 시장 대접전 ③가장 얇고 가벼운 갤Z폴드7 출시 시점 맞물릴 듯 [서울=뉴시스] 이주영 수습 기자 = 23일 삼성전자의 '갤럭시 S25 엣지'가 정식 출시됐지만, 신규 영업이 중단된 SK텔레콤 대리점은 휴대전화 개통이 아닌 유심을 교체하려는 고객들로 붐볐다. 2025.05.23. zoo@newsis.com [서울=뉴시스] 심지혜 기자 = 올 여름 사상 유례없는 단말기 보조금 대란 불 붙는다. SK텔레콤의 대규모 유심 해킹 사고 이후 잠잠했던 이동통신 시장이 다시 들썩이고 있다. SK텔레콤 가입자 이탈이 가속화되면서, KT와 LG유플러스가 보조금 정책으로 반사이익을 노리고 나섰다. 보조금을 앞세운 가입자 쟁탈전은 SK텔레콤의 신규 영업이 재개되면 본격적으로 불붙을 전망이다. 41만명 넘게 가입자가 순감한 SK텔레콤이 원상회복을 위해 강도 높은 반격에 나설 것으로 예상되기 때문이다. 여기에 다음 달 단통법(이동통신 단말장치 유통구조 개선에 관한 법률)이 폐지되고, 삼성전자의 신형 폴더블폰 출시까지 예정돼 있어 올 여름 통신시장은 10년 만의 보조금 대란이 일어날 수 있다는 전망이 나온다. SKT 가입자 이탈에…갤S25·아이폰16 보조금 80만원대로 껑충"
SK 유심 해킹,아이뉴스24,2025-05-29 16:29:09,유심 물량 공급 안정화됐는데⋯SKT 신규가입 중단 언제까지?,https://n.news.naver.com/mnews/article/031/0000936457?sid=105,"'생존 위협' SKT 대리점협의회 ""﻿신규 모집 중단 철회 강력 촉구"" ""재개 논의, 유통점 고충 덜고 시장 혼선 줄일 수 있는 방안"" 유심 교체 예약해놓고도 방문 교체하지 않는 가입자 강제 못해 SK텔레콤 유심 해킹 사고에 따른 정부의 신규가입 중단 조치가 장기화되면서 대리점협의회가 ""생존의 위협""을 이유로 가입 중단 조치 철회를 요구하고 나섰다. 침해사고 초기와는 달리 SK텔레콤의 유심 물량 공급이 안정적으로 이뤄지고 있다는 이유에서다. 정부는 유심 교체 수요를 충족할 때까지 모집을 중단해야 한다는 입장이지만 자칫 유통 시장의 붕괴를 우려하는 시각도 있다. SK텔레콤의 적극적인 유심 교체를 전제로 정부 역시 SK텔레콤의 신규 가입자 모집 재개에 전향적으로 나서야 한다는 목소리가 나오고 있다. 지난 달 25일 서울 한 SKT 대리점에서 한 직원이 사용한 유심 카드를 들어 보이고 있다. [사진=연합뉴스] 517만 유심 교체·내달 570만 추가 확보⋯유심 물량 공급 안정화 단계 과학기술정보통신부는 5월1일 SK텔레콤의 유심 교체 물량 부족 문제를 해결하기 위해 '유심 물량 공급이 안정화될 때까지 SK텔레콤은 이동통신 서비스 신규 모집을 전면 중단할 것'을 행정지도했다. SK텔레콤은 이를 수용해 5일부터 2600여 개 T월드 대리점에서의 신규·번호이동 가입자를 받고 않고 있다. SK텔레콤의 유심 물량 공급은 침해사고 발생 초기와는 달리 안정화 단계에 들어선 상태다. 29일 0시 기준 517만 명이 이미 유심 교체를 완료했다. 당장 오는 6월에는 570만 개의 유심이, 7월에는 500만 개의 유심이 추가 확보된다. 반면 유심 교체 잔여 예약 고객 수는 389만 명에 그친다. SK텔레콤이 유심 교체 작업 물량이 안정화된 것으로 보는 배경이다. 고객 응대 힘 쓰는 SKT 대리점들⋯매출 발생 '신규 모객'은 25일째 중단 신규 가입 중단 조치로 SK텔레콤 대리점들의 고충은 25일째 계속되고 있다. 이날 ﻿SK텔레콤 대리점협의회는 성명서를 내고 ""한 분이라도 더 유심 교체를 해 드리기 위해 휴일 없이 대리점 전 직원이 고객 응대에 힘쓰고 있는 상황""이라면서도 ""신규 모집 중단은 받아들이기 어려운 조치다. SK텔레콤과 정부는 중단을 철회할 것을 촉구한다""고 주장했다. 신규 영업을 하지 말라는 것은 소상공인들로 하여금 생계를 포기하라고 하는 것과 같은 부당한 요구라는 게 협의회 측의 토로다. 염규호 협의회 회장은 ""(소상공인들의 고충은) 말할 수 없을 정도다. 가입자는 뺏기고 있는데 (신규 모집 없이) 유심 교체 작업만 계속하고 있다""며 ""소상공인도 매를 맞아야 한다는 건 부당하다고 생각한다""고 말했다. 유심 교체자 수요 전부 충족 시 신규 재개⋯현실성 부족 유상임 과학기술정보통신부 장관은 전날(28일) 취재진과 만나 SK텔레콤의 신규영업 중지 해제 시점을 묻는 질의에 ""유심을 교체하겠다는 수요자를 전부 만족시켜야 할 것""이라고 답했다. 당초 행정지도였던 '유심 물량 공급이 안정화될 때까지'에서 '유심 수요자 전부 만족'으로 신규 가입자 모집 재개에 대한 시점이 바뀐 것이다. 유심 교체 수요 전부 충족은 현실성이 부족하다는 지적도 있다. SK텔레콤에 따르면 유심 교체 잔여 예약자인 389만 명(29일 0시 기준) 중 30만 명은 교체 안내를 받고도 매장을 방문하지 않고 있다. 한 가입자는 ""유심 교체를 예약했지만 보호서비스로 충분한 것 같아 매장 방문을 안 하고 있다""고 했다. SK텔레콤은 유심 교체를 안내·권유할 순 있어도 강제할 순 없다. 대리점 관계자는 ""신규 가입 중단은 유심 물량 부족 문제를 해결하기 위한 과기부의 행정지도와 이를 수용한 SK텔레콤의 결정""이라면서도 ""유심 물량 공급이 안정화됐다면 (재개를) 논의하는 것이 유통점 고충을 덜고 시장 혼선도 줄일 수 있는 방안이라고 생각한다""고 말했다."
SK 유심 해킹,조선비즈,2025-05-29 15:40:10,SK텔레콤 신규 가입 재개는 언제?… 통신업계 고객 쟁탈전 심화,https://n.news.naver.com/mnews/article/366/0001081298?sid=105,"유상임 과기정통부 장관 “유심 교체 완료돼야 신규 가입 재개” SK텔레콤, 하루에 30만명씩 교체 중… 예약 인원 57% 완료 KT·LGU+, 신제품 지원금 풀어 고객 유치 서울 시내 SK텔레콤 대리점에 게시된 해킹 사고 관련 안내문./뉴스1 과학기술정보통신부가 SK텔레콤의 신규 가입자 모집 재개 시점을 ‘유심(USIM·가입자식별장치) 교체를 전부 완료한 후’로 못박은 가운데 통신 업계 고객 쟁탈전이 심화될 것으로 보인다. SK텔레콤의 유심 교체율은 전체 예약자의 57%를 넘긴 상태다. 현재와 같은 교체 속도를 유지하면 SK텔레콤은 2주 안에 신규 가입 서비스를 재개할 수 있을 것으로 예상된다. 유상임 장관 “유심 교체 원하는 이용자 만족시켜야” 유상임 과학기술정보통신부 장관은 지난 28일 서울 중구 코리아나호텔에서 열린 ‘AI·디지털 기술사업화 전략대화’ 직후 ‘SK텔레콤에 대한 신규 가입 재개 시점을 고려하고 있냐”라는 기자의 질문에 “유심을 교체하겠다는 수요자들은 만족시켜야 하지 않겠냐”라고 답했다. ‘유심 교체 건수가 (교체 예약자 수의) 절반을 넘겼다‘라는 질문에 유 장관은 “전부 (교체해야 한다)”라고 답했다. 유 장관은 또 “유심 포맷(재설정)을 이용하겠다는 고객은 교체 요구가 없을 것이다. 하지만 물리적으로 유심을 바꿔 달라는 고객은 만족하게 해야 한다”라고 말했다. SK텔레콤의 2600개 대리점은 과기정통부의 행정지도로 지난 5일부터 신규 영업을 중단한 상태다. 현행법에는 행정지도 존속 기한에 대한 규정은 없지만, 목적이 실현된 경우에는 지도가 종료돼야 한다고 명시돼 있다. SK텔레콤에 따르면, 29일 오전 12시 기준 누적 유심 교체 건수는 517만건을 기록했다. 잔여 예약 고객은 389만명으로, 유심 교체를 예약한 인원의 57%가 유심 교체를 완료한 상태다. SK텔레콤은 지난 6일간 하루 평균 30만명 정도의 가입자를 대상으로 유심을 교체해줬다. 현재와 같은 속도면, 예약자 전원이 유심 교체를 원한다고 가정했을 경우 약 2주 안에 유심 교체작업이 완료될 것으로 보인다. SKT 이탈자 45만명... 대리점주들 “소상공인 피해 가중” 현재 이동통신 3사 간 벌어지고 있는 고객 쟁탈전은 한동안 더 거세질 것으로 보인다. KT와 LG유플러스는 지원금을 풀면서 고객 유치에 나서고 있다. 업계에 따르면 해킹 사고 후 약 한 달간 SK텔레콤에서 이탈한 고객은 45만명 정도다. KT는 삼성 ‘갤럭시S25’의 최대 공시지원금을 70만원까지 올렸다. 추가 지원금까지 더하면 80만원대의 할인을 받을 수 있다. 출고가 115만5000원짜리 갤럭시S25(256GB) 기기를 35만원대에 구매할 수 있는 것이다. LG유플러스 역시 공시지원금을 최대 70만원까지 올렸다. 신규 가입이 중단된 SK텔레콤은 판매점에 ‘판매 장려금 정책’을 배포하고 고객 방어에 나서고 있다. SK텔레콤은 판매점에 이심 개통 조건으로 ‘갤럭시S25 시리즈’의 지원금을 65만~66만원까지 올린 바 있다. 계속되는 고객 이탈에 SK텔레콤 대리점주들의 불만도 커지고 있다. SK텔레콤 대리점 협의회는 성명서를 내고 “SK텔레콤은 이번 사태를 해결하기 위한 대리점들의 헌신적인 노력에 대해 정확히 인지하고 신규 모집 중지 기간의 손실에 합당한 보상안을 조속히 제시해야 한다”고 밝혔다. 또 “이번 사태로 인해 더 이상의 소상공인 피해가 가중되는 일이 없도록 신규 모집 정지는 당장 해제돼야 할 것”이라고 촉구했다. 증권가는 SK텔레콤 해킹 사고가 올해 실적보다는 내년 영업이익에 부정적일 수 있다고 보고 있다. 김홍식 하나증권 연구원은 “연간으로는 일회성 비용 발생으로 영업이익에 부정적인 영향을 주겠지만, 매출 감소 효과가 마케팅 비용 감소로 상쇄될 것이라 큰 타격은 없을 것”이라고 했다. 다만 “시장점유율 하락에 따른 이동전화 매출 감소는 올해보다는 내년 영업이익에 부정적일 전망”이라고 덧붙였다."
SK 유심 해킹,뉴시스,2025-05-29 11:00:06,"SKT, 유영상 사장 개보위원장 만남 인정…""사고 수습 위해 만난 것""",https://n.news.naver.com/mnews/article/003/0013273310?sid=105,"""유영상 사장, 여러 인사 만나 상황 설명하고 조언 받고 있어"" 유심 교체자 517만명·대기 389만명…내달 중 예약 없이 교체 가능할 듯 [서울=뉴시스] 심지혜 기자= SK텔레콤이 29일 서울시 중구에 위치한 삼화빌딩에서 해킹 사고 이후 수습 상황에 대해 설명하는 브리핑을 열었다. (왼쪽부터)김희섭 PR센터장, 임봉호 MNO사업부장, 류정환 네트워크인프라센터장. [서울=뉴시스] 심지혜 기자 = SK텔레콤은 해킹 사고 조사를 받고 있는 과정에서 유영상 사장이 개인정보보호위원장을 만난 것이 부적절했다는 일각의 지적에 대해 ""수습을 위해 만난 것""이라고 해명했다. 김희섭 SK텔레콤 PR센터장은 29일 서울시 중구에 위치한 삼화빌딩에서 해킹 사고 이후 수습 상황에 대해 설명하는 브리핑에서 이같이 밝혔다. 김 센터장은 유 사장이 고학수 개보원장을 만난 이유에 대해 “외부의 여러 인사를 만나 사태 수습과 관련해 설명하고 조언을 받고 있다”며 ""전반적으로 사태 수습 과정에서 벌어지는 일이라고 이해해 달라""고 해명했다. 개보위는 전날 설명자료를 내고 ""SK텔레콤 해킹사고 발생에 따른 개인정보 유출 조사가 진행되는 가운데 지난 22일 SK텔레콤 측 요청에 따라 양측의 관계자 배석 하에 이뤄진 것으로, 이 자리에서 개인정보위 위원장은 관계 법령에 따라 엄정하게 조사·처분할 계획임을 강조했다""고 밝혔다. 유심 교체는 지난달 22일 해킹 사고 발표 이후부터 전날까지 517만명이 받았다. 전날에는 28만명이 유심을 교체했다. 대기 중인 고객은 389만명이다. 이 중 30만명은 교체 안내를 했지만 대리점에 오지 않은 고객이라고 SK텔레콤은 설명했다. 소프트웨어(SW)로 유심 정보를 바꾸는 유심 재설정은 누적 24만6000명이 받았다. SK텔레콤은 이달 5일부터 시작된 영업중지가 다음달 중후반 정도면 재개될 것으로 내다봤다. 임봉호 MNO사업부장은 “유심 교체 예약자들에게 최대한 안내하고 빨리 처리될 수 있도록 하고 있어 지금 속도대로라면 다음달 중반이면 안내는 다 한번씩 할 수 있을 것 같다”며 “빠르게 마무리 하는 데 집중할 것”이라고 강조했다. 김희섭 PR센터장은 “유심 교체 등의 작업이 순조롭게 진행되면 유심교체 시점을 앞당길 수 있을 것”이라고 부연했다. 해킹사고로 SK텔레콤 2600개 대리점이 신규영업을 하지 못하게 되면서 손해를 보게 된 것에 대해서는 영업 재개 시점에 별도 논의한다는 방침이다. 임 사업부장은 “(번호이동, 신규가입 등)신규영업은 할 수 없지만 기기변경 업무는 하고 있다. 매장마다 다르겠지만 대략 평월보다 30~40% 늘었다”며 “기기변경에 대한 지원금을 상향해 정상적으로 진행되고 있다고 볼 수 있다”고 했다. 매장이 없는 산간 오지 지역 등 직접 방문해 유심을 교체하는 ‘찾아가는 서비스’는 현재까지 88개 지역에서 운영했다. 이를 통해 약 2만명이 유심을 교체했다. SK텔레콤은 이달 말까지 321개소에 방문할 계획이다. 다만 택배로 유심을 배송하는 방안은 아직까지도 검토 중이다. 김 센터장은 “기다리는 분들이 있어서 그분들에게 안내를 다 드리고 교체할 수 있도록 하는 게 우선”이라고 했다. 그러면서 다음달 중순부터는 예약을 하지 않아도 유심 교체를 받을 수 있도록 지원한다는 방침이다. [서울=뉴시스] SK텔레콤이 12일 서울시 중구에 위치한 삼화빌딩에서 해킹 사고 이후 수습 상황에 대해 설명하는 브리핑을 열었다. 지난달 해킹 사고 발표 이후부터 이달 28일까지 유심을 교체한 고객은 517만명이다."
